protein	class	lag	features
VO:_VO_0010857	1	l1	-0.05227,16.25937,-0.28166,-0.00003,0.00022,0.00005
VO:_VO_0010857	1	l2	-0.06112,90.67048,-0.78630,0.00055,0.01874,-0.00011
VO:_VO_0010857	1	l3	-0.05033,-20.66406,-0.03245,-0.00002,0.00103,0.00018
VO:_VO_0010857	1	l4	0.14649,-43.21086,0.57000,-0.00030,-0.00480,0.00007
VO:_VO_0010857	1	l5	-0.04906,-4.23863,-0.67409,0.00004,0.00629,0.00021
VO:_VO_0010857	1	l6	-0.06706,3.66055,-0.38083,-0.00003,-0.00167,0.00004
VO:_VO_0010857	1	l7	0.10361,-31.60541,0.53262,-0.00001,0.00009,0.00000
VO:_VO_0010857	1	l8	0.07809,-6.78599,0.81088,-0.00005,-0.00162,0.00008
VO:_VO_0010857	1	l9	0.01104,-20.57256,-0.26562,0.00002,0.00197,0.00003
VO:_VO_0010857	1	l10	-0.01459,-36.21972,-0.10933,-0.00018,-0.00312,-0.00004
VO:_VO_0010857	1	l11	0.02548,13.25693,0.78432,-0.00009,-0.00370,0.00016
VO:_VO_0010857	1	l12	0.01047,-24.16231,-0.29497,0.00003,0.00284,0.00003
VO:_VO_0010857	1	l13	-0.05039,-36.86579,-0.21565,-0.00032,-0.00838,0.00004
VO:_VO_0010857	1	l14	-0.01361,-48.81179,-0.25950,-0.00019,-0.00127,0.00001
VO:_VO_0010857	1	l15	0.06705,5.40683,0.56557,-0.00011,-0.00260,-0.00000
VO:_VO_0010857	1	l16	-0.01546,-58.23420,0.01431,-0.00036,-0.01115,-0.00016
VO:_VO_0010857	1	l17	-0.00934,22.67157,-0.10755,0.00008,0.00405,-0.00007
VO:_VO_0010872	1	l1	-0.02529,6.55887,-0.40347,0.00004,0.00254,-0.00026
VO:_VO_0010872	1	l2	0.07046,35.52613,0.31185,0.00023,0.01033,-0.00010
VO:_VO_0010872	1	l3	-0.04573,-18.17085,-0.39447,-0.00015,-0.00205,-0.00010
VO:_VO_0010872	1	l4	-0.03876,17.81641,-0.50365,-0.00000,0.00107,-0.00001
VO:_VO_0010872	1	l5	-0.03158,-52.91483,-0.44464,-0.00028,-0.00649,-0.00007
VO:_VO_0010872	1	l6	-0.07013,89.62146,-0.46507,0.00046,0.01385,0.00019
VO:_VO_0010872	1	l7	0.05832,42.39377,0.43510,0.00020,0.00572,-0.00016
VO:_VO_0010872	1	l8	0.00296,23.15158,-0.06450,-0.00001,-0.00082,-0.00002
VO:_VO_0010872	1	l9	-0.01439,-23.49213,0.25070,-0.00023,-0.00628,0.00027
VO:_VO_0010872	1	l10	0.03073,85.40698,0.35434,0.00042,0.01001,-0.00010
VO:_VO_0010872	1	l11	-0.01118,-50.70582,0.06551,-0.00032,-0.00741,0.00010
VO:_VO_0010872	1	l12	-0.00374,-25.23655,-0.21804,-0.00011,-0.00065,-0.00016
VO:_VO_0010872	1	l13	-0.01768,-28.46569,-0.03752,-0.00006,-0.00202,0.00025
VO:_VO_0010872	1	l14	0.03870,68.16160,0.11177,0.00042,0.01154,0.00002
VO:_VO_0010872	1	l15	0.00641,-68.72968,-0.41348,-0.00040,-0.00689,0.00001
VO:_VO_0010872	1	l16	0.00859,51.80579,0.38903,0.00022,0.00469,-0.00026
VO:_VO_0010872	1	l17	-0.01818,-25.81100,-0.20999,-0.00006,-0.00093,-0.00003
VO:_VO_0010873	1	l1	-0.05227,16.25937,-0.28166,-0.00003,0.00022,0.00005
VO:_VO_0010873	1	l2	-0.06112,90.67048,-0.78630,0.00055,0.01874,-0.00011
VO:_VO_0010873	1	l3	-0.05033,-20.66406,-0.03245,-0.00002,0.00103,0.00018
VO:_VO_0010873	1	l4	0.14649,-43.21086,0.57000,-0.00030,-0.00480,0.00007
VO:_VO_0010873	1	l5	-0.04906,-4.23863,-0.67409,0.00004,0.00629,0.00021
VO:_VO_0010873	1	l6	-0.06706,3.66055,-0.38083,-0.00003,-0.00167,0.00004
VO:_VO_0010873	1	l7	0.10361,-31.60541,0.53262,-0.00001,0.00009,0.00000
VO:_VO_0010873	1	l8	0.07809,-6.78599,0.81088,-0.00005,-0.00162,0.00008
VO:_VO_0010873	1	l9	0.01104,-20.57256,-0.26562,0.00002,0.00197,0.00003
VO:_VO_0010873	1	l10	-0.01459,-36.21972,-0.10933,-0.00018,-0.00312,-0.00004
VO:_VO_0010873	1	l11	0.02548,13.25693,0.78432,-0.00009,-0.00370,0.00016
VO:_VO_0010873	1	l12	0.01047,-24.16231,-0.29497,0.00003,0.00284,0.00003
VO:_VO_0010873	1	l13	-0.05039,-36.86579,-0.21565,-0.00032,-0.00838,0.00004
VO:_VO_0010873	1	l14	-0.01361,-48.81179,-0.25950,-0.00019,-0.00127,0.00001
VO:_VO_0010873	1	l15	0.06705,5.40683,0.56557,-0.00011,-0.00260,-0.00000
