	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100	f101	f102
0	-0.01862	92.22875	-0.53112	0.00047	0.01901	-0.00051	-0.02766	-6.37135	-0.36059	0.00064	0.01097	-0.00041	0.02047	-0.40928	0.11261	0.00011	0.00145	-0.0001	-0.03757	20.93923	-0.27716	7e-05	0.00485	0.00025	-0.01823	73.24519	0.01627	0.00038	0.0159	-7e-05	-0.06363	-75.48385	-0.45466	-0.00026	-0.01021	-0.00019	0.07733	-204.33098	0.45756	-0.00137	-0.03195	-0.00014	0.0469	-43.67257	0.5479	-4e-05	-0.00765	5e-05	0.01401	-35.36647	-0.29432	-0.00034	-0.00181	0.00013	-0.02364	-23.32792	0.03422	0.00016	-0.0029	-0.00028	-0.05832	96.50451	-0.71875	0.00054	0.01928	0.00018	0.02509	94.56425	0.37211	0.00048	0.01227	0.00013	-0.01711	-40.35984	0.12056	-0.00013	-0.01129	-0.00019	0.05357	-15.57933	0.53283	-0.00016	-0.00238	-7e-05	-0.01353	56.80284	0.14838	4e-05	0.00635	0.00011	0.02291	46.52038	0.02491	0.00028	0.00854	-3e-05	0.01591	1.31856	-0.24484	8e-05	0.00617	5e-05
1	0.07008	-27.2817	0.00342	2e-05	0.00234	6e-05	-0.04187	-22.3177	-0.27771	5e-05	-0.0005	-9e-05	-0.05267	-10.75839	-0.25535	3e-05	0.00111	0.00016	0.03223	55.05689	0.23223	0.00039	0.01127	-9e-05	-0.01773	98.19708	0.42278	0.00055	0.01475	-0.00019	0.00745	-111.64911	-0.05865	-0.00056	-0.01404	2e-05	0.06089	-28.32136	0.74006	-0.00019	-0.00707	-1e-05	-0.01713	-14.36601	-0.11102	-1e-05	0.00412	-3e-05	0.03233	20.79431	0.08101	0.00012	0.00768	0.00019	0.01024	16.82051	0.07903	0.0	0.00173	1e-05	-0.0475	-25.1008	-0.24284	2e-05	-0.00473	-0.0001	-0.03722	-28.98597	0.14535	-9e-05	-0.00725	-0.00017	-0.03731	20.79611	-0.21528	0.0001	0.00136	-0.00012	-0.10839	-2.72274	-0.38798	-4e-05	-0.00388	-0.00011	0.08689	10.25073	0.57552	0.00012	-0.0001	0.00018	0.00333	1.8122	-0.10368	0.00025	0.00476	-0.00015	-0.0272	7.40853	0.01684	-5e-05	-0.00138	-5e-05
2	0.00229	2.30672	0.31073	5e-05	-0.00087	-0.00044	0.01187	-5.11384	0.18069	1e-05	-0.0001	0.00013	-0.03783	20.12404	-0.36224	0.00026	0.00875	-0.00019	-0.03475	8.44636	-0.20013	5e-05	-0.00065	-0.00011	-0.01432	-21.37969	-0.18097	-0.00018	-0.00278	0.0003	-0.01909	21.04803	-0.14042	0.00013	0.00488	-2e-05	-0.00505	-21.30745	-0.04191	-6e-05	-0.00379	-4e-05	0.02527	-14.25904	-0.05193	-6e-05	0.00149	0.00011	-0.02168	19.49851	-0.20009	0.00011	0.00289	-8e-05	-0.04719	-0.43434	-0.48326	6e-05	0.0032	0.00023	0.01179	44.16592	0.2048	0.00015	0.00159	-0.00019	0.02483	102.57973	0.19839	0.00055	0.01638	-0.0001	0.00574	10.80238	0.07959	-1e-05	-0.00175	-0.0	-0.02537	56.99015	-0.25064	0.00025	0.00972	0.00019	0.01479	-16.41443	0.02191	-6e-05	-0.00454	-0.00014	-0.01448	-14.54781	-0.21838	-0.00021	-0.00308	-0.00015	-0.05826	65.52642	-0.35141	0.00034	0.00853	1e-05
3	-0.05043	-65.29531	-1.17114	-0.00017	-0.00414	-3e-05	-0.14249	-81.80659	-0.35697	-0.00055	-0.0193	0.00012	0.01627	28.5298	-0.00676	0.00015	0.00681	8e-05	0.04826	70.59186	0.57732	0.00042	0.01457	7e-05	-0.06223	-73.77231	-0.79169	-0.00043	-0.01283	-0.00016	0.02923	-26.76356	-0.60569	4e-05	0.00273	-1e-05	0.11371	42.82713	1.46511	0.00025	0.00414	-5e-05	-0.06658	-88.10073	-0.86394	-0.00044	-0.01097	-1e-05	-0.03094	-23.65865	0.02707	-0.00014	-0.00725	-5e-05	0.01204	4.62148	-0.12097	0.00018	0.00527	7e-05	0.043	68.63781	-0.05199	0.00043	0.01087	-9e-05	0.00158	83.75436	-0.08008	0.00052	0.01278	-3e-05	-0.04454	25.6165	-0.48919	0.00016	0.00711	-5e-05	0.17346	70.63088	1.36057	0.00041	0.00932	5e-05	-0.04094	-82.33406	-0.64664	-0.00032	-0.00557	-3e-05	-0.10603	33.20939	-0.13905	0.00013	-0.00048	-6e-05	0.03705	14.44263	0.22899	0.00012	0.00204	0.00012
4	0.07188	60.95785	0.27338	0.00056	0.01444	-0.00036	0.03603	-21.77155	0.20067	-6e-05	-0.00451	-0.00028	0.08464	103.46275	0.45508	0.00064	0.02314	0.00073	0.01802	-58.2753	0.08205	-0.00051	-0.00818	-0.0001	0.01578	-64.09103	-0.21719	-0.00025	-0.00542	-0.00041	-0.03396	-17.40763	-0.05123	-0.0001	0.00035	-5e-05	0.02292	-30.64818	0.51575	-0.00037	-0.01107	-8e-05	0.01865	-50.73145	0.02654	-0.00031	-0.00715	3e-05	-0.03293	-32.51081	-0.09702	-0.00022	-0.00919	-0.00022	0.07145	55.06163	0.74781	9e-05	-0.00043	-0.00031	0.02613	73.96758	0.20852	0.00061	0.01605	0.00035	-0.06738	14.91436	-0.76908	0.00029	0.00441	-4e-05	-0.05245	25.61942	-0.08435	0.00024	0.00257	4e-05	0.00248	109.22649	0.0899	0.00081	0.02104	0.0004	0.00797	37.97831	-0.01985	0.00024	0.00633	0.0001	0.00387	0.75282	-0.1615	-0.00016	-0.00209	0.00033	0.03922	59.15205	0.56436	0.0003	0.01057	0.00011
5	-0.08018	10.54979	-0.62858	0.00038	0.00636	2e-05	-0.0243	7.19954	-0.69283	0.00021	0.00846	-3e-05	0.02802	9.72467	0.4523	-0.0001	-0.0035	9e-05	0.16203	5.81475	1.10944	-1e-05	0.00523	-3e-05	-0.07056	-3.22874	-0.64531	2e-05	0.00332	0.0001	-0.08186	-41.17559	-0.62	-0.00033	-0.00515	0.00024	0.07261	135.20642	0.98471	0.00066	0.01942	0.0001	0.03343	51.92131	-0.30554	0.00032	0.0105	0.00014	-0.07327	6.22916	-0.76324	0.00037	0.00996	0.00012	-0.02338	-58.34397	-0.19716	-0.00025	-0.00898	-7e-05	0.07064	44.68606	0.43027	0.00021	0.01057	-6e-05	-0.01303	-1.04629	-0.05285	-1e-05	5e-05	0.00013	-0.08499	-36.62165	-1.08854	-0.00021	-0.0034	-0.00017	0.06008	28.36537	0.73265	8e-05	0.00395	0.00027	-0.0047	-47.23921	0.12255	-0.00028	-0.00723	-0.00012	-0.02677	-80.47406	-0.12861	-0.00052	-0.01519	-0.00012	0.04454	30.45806	0.62837	0.00014	-0.00034	-4e-05
6	-0.00878	-46.27932	-0.1878	-0.00027	-0.00517	-8e-05	-0.11083	-8.5924	-1.1438	4e-05	0.00248	9e-05	0.0082	6.72139	-0.20676	0.00022	0.00918	0.0005	0.02844	71.05787	0.0745	0.00042	0.01333	-5e-05	-0.00867	-45.01904	-0.50209	-0.00012	0.00145	-0.00022	-0.07075	8.70805	-0.28912	-8e-05	-0.00475	0.00023	0.05205	-38.55224	0.40022	-0.00017	-0.00471	-0.0002	-0.06765	-20.89541	-0.15146	1e-05	-0.00497	-0.00025	0.00515	-21.05796	-0.22908	-0.00018	-0.00291	0.00017	-0.10213	-4.28626	-0.51408	-0.00024	-0.00966	7e-05	0.02665	-72.93241	0.21069	-0.00047	-0.01498	-0.00029	0.01499	32.44464	0.00616	0.00018	0.00536	0.00044	-0.04181	-89.62574	0.13299	-0.00059	-0.01908	3e-05	-0.02538	0.57583	-0.24636	-0.0001	-0.00208	-0.00039	-0.03824	-16.79906	-0.00023	-7e-05	-0.00293	0.00019	0.0737	74.51239	0.54629	0.00042	0.00955	0.00017	-0.02262	17.00852	-0.15142	0.00011	0.00264	-0.0002
7	-0.06629	6.25511	-0.33799	0.00011	0.00337	0.0001	0.03038	83.30628	0.18037	0.00066	0.01283	-0.00026	0.07756	-12.00327	-0.31671	4e-05	0.00967	2e-05	0.0269	46.51474	-0.0692	0.00044	0.01421	0.00019	0.10637	-71.63501	0.64423	-0.00083	-0.01623	0.0002	0.05992	-2.01747	0.37076	-0.0001	-0.00227	-0.00036	-0.06229	-39.39875	-0.1379	-0.0003	-0.00296	0.00015	0.13142	-102.51808	0.70194	-0.00028	-0.00616	-4e-05	-0.0965	-62.65267	0.00117	-0.00054	-0.01961	-0.0003	-0.00948	-38.59514	0.18918	-1e-05	-0.00535	-0.00042	0.00456	53.11928	-0.07168	0.00062	0.01054	8e-05	-0.05982	-33.71072	-0.4576	0.0003	-0.00012	0.00029	-0.03769	93.72034	0.11571	0.00054	0.01688	-0.00038	-0.08373	51.35118	-0.69127	0.00021	0.01109	-0.00017	0.04747	-23.2641	-0.01228	-0.00011	-0.0037	-0.00025	0.07183	-108.52664	0.13003	-0.00058	-0.01275	5e-05	0.01477	0.39972	0.69682	6e-05	-0.00087	2e-05
8	0.02506	-113.31229	0.44465	-0.00046	-0.02207	-0.00088	-0.01843	-180.1439	0.55481	-0.00092	-0.03286	0.00019	0.14899	562.02742	0.73058	0.00301	0.10078	0.00216	-0.06373	-142.33009	0.08927	-0.00072	-0.03179	-0.0003	0.03376	-130.61606	0.12885	-0.00073	-0.02184	0.0003	0.13456	456.71968	0.39511	0.00254	0.08379	0.00166	0.00584	-54.81082	0.42096	-0.00038	-0.01785	-0.00056	0.00889	-59.07186	0.56458	-0.00057	-0.02378	0.00025	0.22955	513.27645	1.11002	0.00278	0.09233	0.00186	-0.06109	-22.68548	0.1719	-0.0004	-0.01929	-9e-05	-0.00178	-142.78154	0.46294	-0.00087	-0.02925	-0.00054	0.20985	470.80167	0.33828	0.00257	0.09355	0.00203	-0.05893	-100.19929	-0.0174	-0.00071	-0.02672	-0.00016	-0.0486	-112.47666	0.13072	-0.0007	-0.02657	0.0004	0.17637	389.28274	0.8643	0.00199	0.07213	0.00186	-0.05338	-53.71422	0.19055	-0.00035	-0.0188	-0.00011	-0.05574	63.69227	0.11444	3e-05	-0.00036	0.00034
9	0.00661	33.27152	0.26325	0.00035	0.00582	-0.00021	-0.02633	33.51882	0.23753	0.0003	0.00549	-7e-05	0.0631	24.68266	0.55639	0.0003	0.00435	-1e-05	0.03661	65.19083	0.33455	0.00042	0.01381	0.00015	-0.02539	52.27176	0.09937	0.00013	0.00262	-1e-05	-0.00909	8.34942	-0.16614	0.00019	0.0044	-0.00038	0.02563	12.68203	0.04943	0.00017	0.00441	-0.00013	0.01593	7.32573	0.05772	4e-05	0.00272	8e-05	0.02236	44.33318	0.07555	0.0002	0.00694	-0.0002	0.05219	83.90128	0.29621	0.0005	0.01522	0.00012	0.0407	44.60706	0.64786	0.00042	0.00317	-0.00011	-0.06164	59.4471	-0.38576	0.00037	0.01078	-1e-05	0.05258	114.88285	0.43993	0.00063	0.01503	1e-05	0.05173	8.13811	0.44275	6e-05	-0.00039	-6e-05	-0.03377	-11.30489	0.05546	-0.00015	-0.00539	-9e-05	-0.06235	83.90926	-0.13223	0.00044	0.00787	0.00024	-0.04312	39.63948	-0.24416	0.00032	0.00714	-0.00017
