mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l1	svm-rbf	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l1	sgd	0.61919	0.75239	0.58026	0.57513	0.12449	0.09264	0.16914	0.11354
auto	l1	nearestCentroid	0.68429	0.80904	0.60763	0.61217	0.11348	0.05191	0.15386	0.10030
auto	l1	adaboost	0.79114	0.74925	0.83711	0.67897	0.04635	0.05524	0.06592	0.06984
auto	l1	BernoulliNaiveBayes	0.76833	0.76881	0.77526	0.66799	0.04904	0.02529	0.10643	0.04845
auto	l1	DecisionTree	0.68974	0.69242	0.67026	0.53161	0.06390	0.03077	0.11865	0.07187
auto	l1	GradientBoosting	0.77359	0.74829	0.80711	0.66045	0.03687	0.04232	0.08468	0.04911
auto	l1	NeuralNetwork	0.83419	0.72121	0.99000	0.71587	0.01690	0.01764	0.03162	0.02470
auto	l1	randomForest	0.80633	0.72922	0.91816	0.70489	0.02500	0.03158	0.05484	0.04853
auto	l2	svm-rbf	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l2	sgd	0.62980	0.71148	0.58263	0.59431	0.10991	0.05587	0.18348	0.09590
auto	l2	nearestCentroid	0.59074	0.71618	0.51579	0.50516	0.12418	0.07433	0.14390	0.09437
auto	l2	adaboost	0.77272	0.72753	0.82684	0.64947	0.03501	0.04008	0.05917	0.04978
auto	l2	BernoulliNaiveBayes	0.83504	0.72576	0.98500	0.71971	0.01992	0.01899	0.04743	0.02340
auto	l2	DecisionTree	0.70851	0.76455	0.70368	0.62302	0.05815	0.04997	0.09246	0.07753
auto	l2	GradientBoosting	0.75327	0.73098	0.78079	0.63135	0.06245	0.07354	0.07676	0.08678
auto	l2	NeuralNetwork	0.83158	0.72007	0.98474	0.71217	0.02002	0.01920	0.03406	0.02911
auto	l2	randomForest	0.82493	0.73797	0.92816	0.68995	0.03763	0.03389	0.04933	0.04734
auto	l3	svm-rbf	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l3	sgd	0.66299	0.73320	0.51105	0.57553	0.12791	0.07498	0.21680	0.15569
auto	l3	nearestCentroid	0.56474	0.70955	0.48553	0.49127	0.15289	0.09594	0.17628	0.12381
auto	l3	adaboost	0.78141	0.72365	0.85289	0.65661	0.05415	0.04686	0.08666	0.08088
auto	l3	BernoulliNaiveBayes	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l3	DecisionTree	0.72966	0.72428	0.71947	0.62354	0.09953	0.07035	0.10794	0.11572
auto	l3	GradientBoosting	0.77656	0.72453	0.84211	0.65278	0.05222	0.04277	0.09645	0.07162
auto	l3	NeuralNetwork	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l3	randomForest	0.82886	0.71621	0.97395	0.70476	0.02582	0.02729	0.04456	0.04290
auto	l4	svm-rbf	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l4	sgd	0.56166	0.71663	0.56000	0.58307	0.12565	0.11823	0.16917	0.10451
auto	l4	nearestCentroid	0.66946	0.76921	0.59658	0.58333	0.10990	0.09225	0.12252	0.11557
auto	l4	adaboost	0.78250	0.72937	0.85132	0.66442	0.04609	0.04366	0.07889	0.06711
auto	l4	BernoulliNaiveBayes	0.81542	0.75640	0.88737	0.71217	0.06541	0.05852	0.09097	0.09202
auto	l4	DecisionTree	0.70411	0.69926	0.70237	0.60106	0.08886	0.08869	0.12396	0.09011
auto	l4	GradientBoosting	0.76472	0.73018	0.80553	0.64630	0.07110	0.05835	0.09673	0.09091
auto	l4	NeuralNetwork	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l4	randomForest	0.83075	0.73092	0.94395	0.73056	0.02992	0.02488	0.05022	0.04985
