protein	class	lag	features
VO:_VO_0010865	1	l1	0.00081,-8.22526,-0.03568,-0.00006,0.00131,0.00008
VO:_VO_0010865	1	l2	0.08388,-146.11752,0.42720,-0.00081,-0.01826,0.00005
VO:_VO_0010865	1	l3	-0.02146,50.43833,-0.39493,0.00032,0.00671,0.00021
VO:_VO_0010865	1	l4	0.02371,4.51094,-0.05044,0.00006,0.00594,0.00004
VO:_VO_0010865	1	l5	-0.03466,68.02822,0.06977,0.00023,0.00932,0.00012
VO:_VO_0010865	1	l6	0.01685,3.74052,0.19282,0.00006,0.00079,-0.00003
VO:_VO_0010865	1	l7	0.01335,57.99285,0.05488,0.00042,0.01173,0.00009
VO:_VO_0010865	1	l8	-0.05864,10.49268,-0.33648,0.00009,-0.00125,-0.00022
VO:_VO_0010865	1	l9	0.11131,-76.03933,0.42218,-0.00062,-0.01097,0.00004
VO:_VO_0010870	1	l1	-0.02918,44.10488,0.01409,0.00036,0.00952,-0.00047
VO:_VO_0010870	1	l2	-0.02270,-112.00243,0.13528,-0.00028,-0.01796,0.00029
VO:_VO_0010870	1	l3	-0.03748,-102.62514,-0.34861,-0.00033,-0.01056,-0.00039
VO:_VO_0010870	1	l4	0.00218,-124.87314,-0.34159,-0.00075,-0.01611,0.00006
VO:_VO_0010870	1	l5	0.05066,116.36465,0.42979,0.00062,0.02051,0.00020
VO:_VO_0010870	1	l6	-0.01499,-86.47498,-0.74365,-0.00061,-0.01154,-0.00014
VO:_VO_0010870	1	l7	-0.08302,-99.62294,-0.81553,-0.00052,-0.01563,-0.00008
VO:_VO_0010870	1	l8	0.05764,-123.24835,-0.19394,-0.00058,-0.01358,-0.00014
VO:_VO_0010870	1	l9	0.04098,113.32670,0.66945,0.00057,0.01649,-0.00000
VO:_VO_0010874	1	l1	-0.09046,39.72754,-0.50080,0.00010,0.00276,-0.00007
VO:_VO_0010874	1	l2	-0.11708,-50.29526,-1.47721,-0.00023,-0.00150,-0.00004
VO:_VO_0010874	1	l3	-0.05302,-63.06301,-0.13685,-0.00054,-0.01660,-0.00012
VO:_VO_0010874	1	l4	0.13839,-45.70514,1.00922,-0.00027,-0.00454,-0.00012
VO:_VO_0010874	1	l5	-0.14585,-57.42822,-1.18860,-0.00034,-0.01085,-0.00009
VO:_VO_0010874	1	l6	-0.11071,-67.93234,-0.65511,-0.00031,-0.01323,-0.00019
VO:_VO_0010874	1	l7	0.05667,48.75503,0.64168,0.00016,0.00208,0.00030
VO:_VO_0010874	1	l8	0.00885,-10.96944,0.30553,-0.00020,-0.00534,0.00014
VO:_VO_0010874	1	l9	-0.04698,-14.87185,-0.89817,0.00028,0.00599,-0.00002
VO:_VO_0010875	1	l1	-0.09046,39.72754,-0.50080,0.00010,0.00276,-0.00007
VO:_VO_0010875	1	l2	-0.11708,-50.29526,-1.47721,-0.00023,-0.00150,-0.00004
VO:_VO_0010875	1	l3	-0.05302,-63.06301,-0.13685,-0.00054,-0.01660,-0.00012
VO:_VO_0010875	1	l4	0.13839,-45.70514,1.00922,-0.00027,-0.00454,-0.00012
VO:_VO_0010875	1	l5	-0.14585,-57.42822,-1.18860,-0.00034,-0.01085,-0.00009
VO:_VO_0010875	1	l6	-0.11071,-67.93234,-0.65511,-0.00031,-0.01323,-0.00019
VO:_VO_0010875	1	l7	0.05667,48.75503,0.64168,0.00016,0.00208,0.00030
VO:_VO_0010875	1	l8	0.00885,-10.96944,0.30553,-0.00020,-0.00534,0.00014
VO:_VO_0010875	1	l9	-0.04698,-14.87185,-0.89817,0.00028,0.00599,-0.00002
VO:_VO_0010876	1	l1	-0.09046,39.72754,-0.50080,0.00010,0.00276,-0.00007
