protein	class	features
>10000	1	0.15695,133.14193,1.86200,0.00037,0.00605,-0.00106,-0.16336,-131.87585,-0.83291,-0.00102,-0.01972,0.00044,-0.01112,-379.30033,-0.64056,-0.00230,-0.04873,-0.00008,0.02825,15.60313,-0.85253,0.00029,0.02619,-0.00024
>10001	1	0.06358,10.99920,1.14969,-0.00081,-0.01860,-0.00244,-0.29902,110.37458,0.62536,0.00055,0.00125,0.00058,0.03526,-292.08255,-0.59822,-0.00081,-0.02852,-0.00103,0.07157,94.79256,-0.12024,0.00152,0.05166,0.00068
>10002	1	0.04862,-54.10458,-0.58539,0.00058,-0.00429,-0.00060,-0.08674,148.22510,-1.01741,0.00064,0.04179,-0.00013,-0.08931,-258.04643,0.61634,-0.00132,-0.04286,-0.00096,-0.07733,128.19557,0.68757,0.00048,0.01128,-0.00111
>10003	1	-0.12104,-112.49006,-1.89156,0.00004,-0.00768,-0.00045,-0.14665,-337.13608,0.37199,-0.00126,-0.05237,0.00015,-0.04481,516.03037,1.94241,0.00187,0.04487,-0.00027,-0.40680,65.11190,-1.92536,0.00013,0.00030,-0.00028
>10004	1	-0.00388,-284.95289,-2.31374,-0.00099,-0.03133,-0.00073,0.07814,-596.85714,0.67717,-0.00278,-0.08742,0.00038,-0.33057,603.37290,0.42373,0.00209,0.07148,-0.00022,-0.46825,-19.77724,-2.06396,-0.00078,-0.02441,-0.00044
>10007	1	-0.21729,-63.05026,-0.45635,-0.00105,-0.02966,0.00222,-0.19966,-60.72773,-1.01312,-0.00031,-0.00179,0.00002,-0.24276,-326.06371,-1.00263,-0.00199,-0.04627,-0.00125,-0.46826,-266.96905,-0.72220,-0.00198,-0.07285,-0.00091
>10008	1	-0.42969,-77.73057,-2.25848,-0.00065,0.01290,-0.00058,0.48677,-311.55666,1.43475,-0.00171,-0.03084,0.00004,-0.47077,365.63777,0.18472,0.00366,0.06569,-0.00040,0.32387,-851.32133,-0.15001,-0.00787,-0.14691,0.00013
>10009	1	0.28154,132.44288,-0.87864,0.00074,0.02890,-0.00016,0.13495,-177.86510,-0.16333,0.00001,-0.00804,-0.00110,0.23257,16.24621,0.77650,0.00085,0.03560,-0.00050,-0.12915,-104.23040,-2.69526,0.00069,0.01252,-0.00138
>10010	1	0.11702,-497.53468,-0.76876,-0.00344,-0.04397,-0.00030,-0.34304,-907.77332,-4.12693,-0.00649,-0.11195,-0.00029,0.30591,929.12496,3.91193,0.00720,0.11232,0.00054,0.17547,-27.46010,0.08202,-0.00078,0.00217,-0.00063
>10011	1	0.00329,11.28857,0.67812,0.00329,0.00547,-0.00029,0.02409,163.88333,-0.05229,-0.00076,-0.01252,-0.00093,-0.14426,-604.62800,-2.51338,-0.00442,-0.04955,-0.00052,-0.57322,-47.55500,-3.25063,-0.00187,-0.00783,-0.00005
>10012	1	-0.18879,565.88480,-1.86045,0.00617,0.08011,0.00003,-0.00845,-621.09714,-1.96354,-0.00306,-0.05303,-0.00027,0.05349,-896.46459,-1.68787,-0.00663,-0.10803,-0.00027,-0.43021,-496.10141,-5.74062,-0.00487,-0.06204,-0.00026
>10013	1	-0.13480,-970.06857,-1.81964,-0.00335,-0.09666,-0.00012,0.05627,887.13333,1.31333,0.00272,0.06652,-0.00054,-0.00384,-1033.18800,-0.62150,-0.00623,-0.14293,-0.00040,-0.59440,799.44500,-3.59750,0.00218,0.11064,-0.00138
>10014	1	-0.11098,184.56670,0.37658,0.00299,0.02817,-0.00037,-0.03492,273.01771,-0.34526,-0.00093,0.00321,-0.00094,-0.43362,-551.11738,-3.02609,-0.00441,-0.05294,-0.00063,-0.55501,-351.59562,-3.05516,-0.00145,-0.04828,-0.00037
>10015	1	0.01295,-544.54393,0.76286,-0.00211,-0.09793,-0.00352,-0.14025,-30.79833,-1.35500,-0.00038,0.00905,-0.00156,-0.10784,340.59250,-1.95600,0.00207,0.07420,-0.00232,-0.32968,-580.44750,-1.39000,-0.00340,-0.11387,-0.00226
>10016	1	-0.12864,-167.23120,0.79474,-0.00042,-0.02427,0.00000,0.36506,-172.48941,3.37722,-0.00091,-0.04323,-0.00009,0.15615,110.20393,2.42412,0.00090,0.02992,0.00018,-0.03370,-163.30124,0.51000,-0.00098,-0.03032,0.00021
