	f1	f2	f3	f4	f5	f6	preds_binary
0	0.08745	-619.87629	1.35643	-0.00561	-0.12213	-0.00045	0
1	-0.08755	-635.84424	0.37997	-0.00422	-0.104	-0.00365	0
2	-0.27727	-770.40431	0.08554	-0.0063	-0.16508	-1e-05	0
3	-0.25192	12.10985	0.59357	-0.00134	-0.04104	-0.00026	0
4	-0.05352	171.55652	-0.76411	0.00212	0.02151	-0.00017	0
5	0.0163	-223.10717	1.55143	-0.0012	-0.03399	-0.00012	0
6	0.04194	-39.96169	0.33811	-0.00031	-0.00834	0.00102	0
7	0.15518	335.46547	2.5314	0.00051	0.01507	-0.00215	0
8	-0.12912	396.88817	-0.06135	0.00291	0.04679	0.00232	0
9	0.33052	-94.53	0.6286	0.00071	0.01641	-0.00024	0
10	-0.05618	-231.0754	0.0836	-0.00169	-0.04126	-0.00177	0
11	-0.08999	107.04874	-1.18562	0.00128	0.02664	-0.00046	0
12	-0.17096	77.28923	-0.34926	0.0009	0.01029	0.00021	0
13	-0.40356	-976.3616	-0.25103	-0.00794	-0.21098	-4e-05	0
14	-0.2536	21.81928	-1.09511	0.00026	0.03295	-0.0001	0
15	-0.04204	397.08338	-0.72358	0.00458	0.05827	-0.00013	0
16	-0.31124	-121.68214	-0.29991	-0.00214	-0.03236	9e-05	0
17	-0.00732	-91.7002	0.41432	-0.00083	-0.0118	-0.00074	0
18	0.2042	-76.29689	0.33185	0.00077	0.01499	0.00019	0
19	-0.44575	-266.42531	-2.59556	-0.00301	-0.0426	1e-05	0
20	-0.06812	-90.49669	0.20047	-0.00064	-0.01819	-2e-05	0
21	-0.18404	47.68147	-0.62117	0.00029	0.00643	3e-05	0
22	0.14224	-582.71556	0.51189	-0.00422	-0.08856	-0.0001	0
23	-0.17495	-124.57711	-0.17654	-0.00085	-0.02433	-2e-05	0
24	-0.00732	-91.7002	0.41432	-0.00083	-0.0118	-0.00074	0
25	-0.34065	43.93394	-2.44311	0.00031	-0.00569	0.00093	0
26	0.17533	264.7429	1.29974	0.00116	0.03125	-0.00049	0
27	-0.18404	47.68147	-0.62117	0.00029	0.00643	3e-05	0
28	0.04477	-87.45437	0.43326	-6e-05	-0.01171	-0.00095	0
29	0.14886	-506.31369	1.64471	-0.00459	-0.10393	-0.00049	0
30	0.23223	-283.84503	0.94427	-0.00189	-0.05157	-0.00025	0
31	-0.25447	-282.10554	-3.32668	-0.00107	-0.02979	-0.0011	0
32	0.0265	-355.71281	-1.28182	-0.00117	-0.03491	0.00033	0
33	-0.1361	-38.15967	-0.46913	-0.00011	-0.00778	-0.00082	0
34	-0.30845	517.0136	-2.62943	0.00383	0.09193	0.00189	0
35	0.14019	241.92413	2.29285	0.00171	0.01089	-0.00024	0
36	0.13631	277.70783	2.33374	0.0021	0.01557	-0.00032	0
37	-0.04962	343.80203	0.35861	0.00306	0.04979	-0.00058	0
38	-0.01016	-395.61643	-1.63482	-0.00118	-0.03696	0.00033	0
