	f1	f2	f3	f4	f5	f6	preds_binary
0	-0.58544	547.41027	-6.54051	0.00465	0.13021	0.0006	0
1	-0.05345	555.85238	-2.0756	0.00242	0.11086	0.00756	0
2	-0.2688	-1051.88127	-0.67793	-0.00839	-0.21449	-0.00117	0
3	-0.43214	185.15493	-2.30667	0.00084	0.04549	-0.0012	0
4	0.05941	249.76071	1.0136	0.00092	0.0208	0.00013	0
5	-0.07439	134.17507	-1.19518	0.00103	0.0368	-0.00045	0
6	-0.08766	-1306.99973	-1.9696	-0.00564	-0.15841	-0.0026	0
7	0.52174	402.10404	2.7264	-0.00109	-0.00036	0.00389	0
8	-0.25948	382.0496	-1.30027	0.00331	0.06175	0.00702	0
9	0.16914	314.85493	0.86793	0.00208	0.03697	0.0001	0
10	0.10822	-288.3054	-1.35873	-0.00171	-0.02537	-0.00028	0
11	-0.0885	777.94493	-0.97818	0.00778	0.13708	-0.00095	0
12	-0.19011	-568.09329	0.18427	-0.00468	-0.13079	-0.00092	0
13	-0.21283	-1503.85593	-1.6446	-0.0115	-0.27447	-0.0014	0
14	0.13338	580.1816	3.68662	0.00425	0.05419	0.00053	0
15	0.07391	60.43449	1.59051	-0.00112	-0.02359	3e-05	0
16	-0.57841	455.88333	-0.68284	0.00065	0.03745	-0.00164	0
17	-0.02983	-1149.9076	-0.58038	-0.00647	-0.15087	0.00051	0
18	-0.04996	-373.72227	-1.10807	-0.00268	-0.1086	-0.0003	0
19	0.46716	-371.52993	1.48833	-0.00336	-0.06165	-8e-05	0
20	-0.04476	206.5856	0.98527	0.00056	0.02066	0.00022	0
21	0.06335	-202.05873	1.39673	-0.00194	-0.07592	-5e-05	0
22	0.09581	617.32222	1.85193	0.00296	0.08446	0.00031	0
23	-0.30157	237.5746	-0.39416	0.00093	0.04029	0.00018	0
24	-0.02983	-1149.9076	-0.58038	-0.00647	-0.15087	0.00051	0
25	-0.25718	-70.43771	-1.39373	-0.00027	-0.02912	-0.00274	0
26	-0.21283	93.87493	-0.57607	0.00021	0.02179	-0.00121	0
27	0.06335	-202.05873	1.39673	-0.00194	-0.07592	-5e-05	0
28	-0.12211	-1177.29222	-2.1116	-0.00558	-0.14425	-0.00056	0
29	-0.71057	288.68027	-8.40373	0.00309	0.09295	0.00022	0
30	-0.4174	430.74907	1.92829	0.00235	0.04809	0.00043	0
31	-0.13613	-134.57116	-1.84338	-0.00082	-0.02455	-0.00057	0
32	-0.09251	-734.87562	-1.65204	-0.00272	-0.06968	-0.00055	0
33	-0.24182	330.2166	-0.02556	0.00153	0.02642	-0.00138	0
34	0.13643	-661.1084	1.17171	-0.00414	-0.09735	5e-05	0
35	-0.26727	-541.39704	-4.48951	-0.00072	-0.01807	0.00028	0
36	-0.28698	-635.43393	-4.6164	-0.00288	-0.04568	0.00024	0
37	-0.11028	-768.05282	-2.0996	-0.0051	-0.07548	0.00053	0
38	-0.14598	-642.39629	-2.59338	-0.00262	-0.06004	-0.00055	0
39	0.15845	-338.23393	0.90793	-0.00277	-0.11127	-0.0001	0
40	1.15817	380.44	1.12018	0.00245	0.11371	0.00014	0
41	-0.04896	329.38493	0.05307	0.00059	0.02641	0.00363	0
42	-0.08766	-1306.99973	-1.9696	-0.00564	-0.15841	-0.0026	0
43	-0.2556	-198.25482	-2.4844	-0.00048	-0.02613	-0.00116	0
44	0.22953	481.91722	2.82722	0.0023	0.03787	-0.00365	0
45	-0.15132	-219.17371	1.09662	-0.00319	-0.1059	-0.00244	0
46	-0.11559	-627.52667	-3.49771	-0.00256	-0.05119	0.00053	0
47	-0.04274	129.10462	-0.7106	0.00288	0.02439	-0.0001	0
48	0.07133	396.14293	-0.05716	0.00556	0.06997	-0.00212	0
49	-0.56907	157.87551	-2.50849	0.00174	0.05261	9e-05	0
50	0.15141	1010.78833	3.09073	0.00566	0.1066	-0.00392	0
51	-0.54657	-101.8584	-2.21333	-0.0007	-0.02192	0.00032	0
52	-0.06708	-85.77516	-1.5614	-0.0008	-0.00983	-0.00254	0
53	-0.00428	-923.91173	-0.26551	-0.00701	-0.16233	3e-05	0
54	0.03175	-504.26293	0.15671	-0.00384	-0.10805	-0.00023	0
55	0.24314	-360.35593	0.95944	-0.00415	-0.07016	-0.00015	0
56	-0.33276	-1.67227	-1.66573	0.00028	0.02088	-0.00018	0
57	0.22871	838.70833	3.20056	0.00494	0.0963	-0.0036	0
