	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	preds_binary
0	-0.00757	-0.00824	0.00245	0.03127	-0.01351	-0.00824	0.00245	0.03127	-0.01351	-0.00757	0.00245	0.03127	-0.01351	-0.00757	-0.00824	0.03127	-0.01351	-0.00757	-0.00824	0.00245	0
1	-0.02871	-0.02876	0.02256	0.01657	-0.02	-0.02876	0.02256	0.01657	-0.02	-0.02871	0.02256	0.01657	-0.02	-0.02871	-0.02876	0.01657	-0.02	-0.02871	-0.02876	0.02256	0
2	-0.00551	0.04811	0.01109	0.01718	0.00649	0.04811	0.01109	0.01718	0.00649	-0.00551	0.01109	0.01718	0.00649	-0.00551	0.04811	0.01718	0.00649	-0.00551	0.04811	0.01109	0
3	-0.01038	0.03234	0.02683	-0.03489	0.02308	0.03234	0.02683	-0.03489	0.02308	-0.01038	0.02683	-0.03489	0.02308	-0.01038	0.03234	-0.03489	0.02308	-0.01038	0.03234	0.02683	0
4	-0.00166	-0.00345	0.00716	0.01284	0.03643	-0.00345	0.00716	0.01284	0.03643	-0.00166	0.00716	0.01284	0.03643	-0.00166	-0.00345	0.01284	0.03643	-0.00166	-0.00345	0.00716	0
5	0.00069	0.0324	-0.01699	0.00162	-0.00517	0.0324	-0.01699	0.00162	-0.00517	0.00069	-0.01699	0.00162	-0.00517	0.00069	0.0324	0.00162	-0.00517	0.00069	0.0324	-0.01699	0
6	0.02696	-0.00808	0.00728	0.00182	0.01564	-0.00808	0.00728	0.00182	0.01564	0.02696	0.00728	0.00182	0.01564	0.02696	-0.00808	0.00182	0.01564	0.02696	-0.00808	0.00728	0
7	0.01806	0.00683	-0.00138	0.00462	-0.01921	0.00683	-0.00138	0.00462	-0.01921	0.01806	-0.00138	0.00462	-0.01921	0.01806	0.00683	0.00462	-0.01921	0.01806	0.00683	-0.00138	0
8	0.00531	-0.00772	-0.00733	0.02235	0.00122	-0.00772	-0.00733	0.02235	0.00122	0.00531	-0.00733	0.02235	0.00122	0.00531	-0.00772	0.02235	0.00122	0.00531	-0.00772	-0.00733	0
9	-0.0055	0.04044	-0.00055	-0.00141	0.01288	0.04044	-0.00055	-0.00141	0.01288	-0.0055	-0.00055	-0.00141	0.01288	-0.0055	0.04044	-0.00141	0.01288	-0.0055	0.04044	-0.00055	0
10	0.02634	0.04755	-0.0031	-0.00103	-0.00342	0.04755	-0.0031	-0.00103	-0.00342	0.02634	-0.0031	-0.00103	-0.00342	0.02634	0.04755	-0.00103	-0.00342	0.02634	0.04755	-0.0031	0
11	-0.01699	0.00194	0.01134	-0.01544	0.01634	0.00194	0.01134	-0.01544	0.01634	-0.01699	0.01134	-0.01544	0.01634	-0.01699	0.00194	-0.01544	0.01634	-0.01699	0.00194	0.01134	0
12	0.02658	-0.01699	0.01082	0.01702	0.00098	-0.01699	0.01082	0.01702	0.00098	0.02658	0.01082	0.01702	0.00098	0.02658	-0.01699	0.01702	0.00098	0.02658	-0.01699	0.01082	0
13	-0.00089	0.04618	0.0097	0.01618	0.01084	0.04618	0.0097	0.01618	0.01084	-0.00089	0.0097	0.01618	0.01084	-0.00089	0.04618	0.01618	0.01084	-0.00089	0.04618	0.0097	0
14	-0.0244	-3e-05	-0.00983	-0.01409	-0.01891	-3e-05	-0.00983	-0.01409	-0.01891	-0.0244	-0.00983	-0.01409	-0.01891	-0.0244	-3e-05	-0.01409	-0.01891	-0.0244	-3e-05	-0.00983	0
15	0.00094	0.00118	0.00647	0.01253	0.01564	0.00118	0.00647	0.01253	0.01564	0.00094	0.00647	0.01253	0.01564	0.00094	0.00118	0.01253	0.01564	0.00094	0.00118	0.00647	0
16	-0.00786	0.00723	0.00769	0.01222	-0.03123	0.00723	0.00769	0.01222	-0.03123	-0.00786	0.00769	0.01222	-0.03123	-0.00786	0.00723	0.01222	-0.03123	-0.00786	0.00723	0.00769	0
17	0.02174	0.0092	0.00981	-0.0138	0.01448	0.0092	0.00981	-0.0138	0.01448	0.02174	0.00981	-0.0138	0.01448	0.02174	0.0092	-0.0138	0.01448	0.02174	0.0092	0.00981	0
18	-0.00176	0.03182	-0.00447	0.00732	0.00792	0.03182	-0.00447	0.00732	0.00792	-0.00176	-0.00447	0.00732	0.00792	-0.00176	0.03182	0.00732	0.00792	-0.00176	0.03182	-0.00447	0
19	-0.00349	0.00421	-0.01012	0.01898	0.021	0.00421	-0.01012	0.01898	0.021	-0.00349	-0.01012	0.01898	0.021	-0.00349	0.00421	0.01898	0.021	-0.00349	0.00421	-0.01012	0
20	0.00615	0.02199	0.0138	0.00678	0.00453	0.02199	0.0138	0.00678	0.00453	0.00615	0.0138	0.00678	0.00453	0.00615	0.02199	0.00678	0.00453	0.00615	0.02199	0.0138	0
21	0.0016	0.01544	0.01658	-0.00019	-0.00544	0.01544	0.01658	-0.00019	-0.00544	0.0016	0.01658	-0.00019	-0.00544	0.0016	0.01544	-0.00019	-0.00544	0.0016	0.01544	0.01658	0
22	-0.00185	0.01073	-0.0022	0.00992	0.00454	0.01073	-0.0022	0.00992	0.00454	-0.00185	-0.0022	0.00992	0.00454	-0.00185	0.01073	0.00992	0.00454	-0.00185	0.01073	-0.0022	0
23	0.00394	0.01939	0.01754	-0.00629	0.00228	0.01939	0.01754	-0.00629	0.00228	0.00394	0.01754	-0.00629	0.00228	0.00394	0.01939	-0.00629	0.00228	0.00394	0.01939	0.01754	0
