Feature: f1                        Rank: 58,  Keep: False 
Feature: f2                        Rank: 144,  Keep: False 
Feature: f3                        Rank: 125,  Keep: False 
Feature: f4                        Rank: 124,  Keep: False 
Feature: f5                        Rank: 99,  Keep: False 
Feature: f6                        Rank: 154,  Keep: False 
Feature: f7                        Rank: 117,  Keep: False 
Feature: f8                        Rank: 81,  Keep: False 
Feature: f9                        Rank: 73,  Keep: False 
Feature: f10                       Rank: 22,  Keep: False 
Feature: f11                       Rank: 131,  Keep: False 
Feature: f12                       Rank: 83,  Keep: False 
Feature: f13                       Rank: 154,  Keep: False 
Feature: f14                       Rank: 51,  Keep: False 
Feature: f15                       Rank: 148,  Keep: False 
Feature: f16                       Rank: 151,  Keep: False 
Feature: f17                       Rank: 65,  Keep: False 
Feature: f18                       Rank: 51,  Keep: False 
Feature: f19                       Rank: 42,  Keep: False 
Feature: f20                       Rank: 67,  Keep: False 
Feature: f21                       Rank: 88,  Keep: False 
Feature: f22                       Rank: 70,  Keep: False 
Feature: f23                       Rank: 30,  Keep: False 
Feature: f24                       Rank: 91,  Keep: False 
Feature: f25                       Rank: 12,  Keep: False 
Feature: f26                       Rank: 36,  Keep: False 
Feature: f27                       Rank: 29,  Keep: False 
Feature: f28                       Rank: 113,  Keep: False 
Feature: f29                       Rank: 3,  Keep: False 
Feature: f30                       Rank: 93,  Keep: False 
Feature: f31                       Rank: 36,  Keep: False 
Feature: f32                       Rank: 85,  Keep: False 
Feature: f33                       Rank: 3,  Keep: False 
Feature: f34                       Rank: 24,  Keep: False 
Feature: f35                       Rank: 50,  Keep: False 
Feature: f36                       Rank: 76,  Keep: False 
Feature: f37                       Rank: 3,  Keep: False 
Feature: f38                       Rank: 49,  Keep: False 
Feature: f39                       Rank: 55,  Keep: False 
Feature: f40                       Rank: 55,  Keep: False 
Feature: f41                       Rank: 48,  Keep: False 
Feature: f42                       Rank: 141,  Keep: False 
Feature: f43                       Rank: 7,  Keep: False 
Feature: f44                       Rank: 71,  Keep: False 
Feature: f45                       Rank: 9,  Keep: False 
Feature: f46                       Rank: 147,  Keep: False 
Feature: f47                       Rank: 7,  Keep: False 
Feature: f48                       Rank: 85,  Keep: False 
Feature: f49                       Rank: 10,  Keep: False 
Feature: f50                       Rank: 11,  Keep: False 
Feature: f51                       Rank: 15,  Keep: False 
Feature: f52                       Rank: 129,  Keep: False 
Feature: f53                       Rank: 3,  Keep: False 
Feature: f54                       Rank: 32,  Keep: False 
Feature: f55                       Rank: 153,  Keep: False 
Feature: f56                       Rank: 78,  Keep: False 
Feature: f57                       Rank: 3,  Keep: False 
Feature: f58                       Rank: 13,  Keep: False 
Feature: f59                       Rank: 119,  Keep: False 
Feature: f60                       Rank: 7,  Keep: False 
Feature: f61                       Rank: 59,  Keep: False 
Feature: f62                       Rank: 93,  Keep: False 
Feature: f63                       Rank: 112,  Keep: False 
Feature: f64                       Rank: 149,  Keep: False 
Feature: f65                       Rank: 121,  Keep: False 
Feature: f66                       Rank: 139,  Keep: False 
Feature: f67                       Rank: 115,  Keep: False 
Feature: f68                       Rank: 116,  Keep: False 
Feature: f69                       Rank: 85,  Keep: False 
Feature: f70                       Rank: 55,  Keep: False 
Feature: f71                       Rank: 104,  Keep: False 
Feature: f72                       Rank: 135,  Keep: False 
Feature: f73                       Rank: 100,  Keep: False 
Feature: f74                       Rank: 42,  Keep: False 
Feature: f75                       Rank: 63,  Keep: False 
Feature: f76                       Rank: 75,  Keep: False 
Feature: f77                       Rank: 67,  Keep: False 
Feature: f78                       Rank: 46,  Keep: False 
Feature: f79                       Rank: 40,  Keep: False 
Feature: f80                       Rank: 44,  Keep: False 
Feature: f81                       Rank: 113,  Keep: False 
Feature: f82                       Rank: 95,  Keep: False 
Feature: f83                       Rank: 135,  Keep: False 
Feature: f84                       Rank: 64,  Keep: False 
Feature: f85                       Rank: 27,  Keep: False 
Feature: f86                       Rank: 145,  Keep: False 
Feature: f87                       Rank: 129,  Keep: False 
Feature: f88                       Rank: 138,  Keep: False 
Feature: f89                       Rank: 44,  Keep: False 
Feature: f90                       Rank: 152,  Keep: False 
Feature: f91                       Rank: 20,  Keep: False 
