	f21	f61	f39	f54	f41	f3	f93	f55	f20	f58	f85	f59	f7	f46	f89	f97	f26	f104	f34	f74	f35	f122	f70	f160	f30	f135	f38	f42	f147	f112	f151	f143	f50	f108	f78	f22	f11	preds_binary
0	0.00303	-0.01049	0.02516	-0.00757	-0.00757	-0.01013	0.005	-0.00824	-0.01013	-0.00757	0.005	-0.00824	-0.01013	-0.00824	0.005	0.005	0.02516	0.02437	0.00303	-0.01049	0.02516	0.02475	-0.01049	0.00699	0.00303	0.02475	0.00303	-0.00824	0.00699	0.02437	0.00699	0.00699	-0.00757	0.02437	-0.01049	0.02516	-0.01013	1
1	0.03793	-0.00348	-0.00521	-0.02871	-0.02871	-0.00497	0.02889	-0.02876	-0.00497	-0.02871	0.02889	-0.02876	-0.00497	-0.02876	0.02889	0.02889	-0.00521	-0.008	0.03793	-0.00348	-0.00521	-0.00354	-0.00348	0.0195	0.03793	-0.00354	0.03793	-0.02876	0.0195	-0.008	0.0195	0.0195	-0.02871	-0.008	-0.00348	-0.00521	-0.00497	0
2	0.01561	-0.03935	-0.01424	-0.00551	-0.00551	0.00014	-0.00644	0.04811	0.00014	-0.00551	-0.00644	0.04811	0.00014	0.04811	-0.00644	-0.00644	-0.01424	-0.00497	0.01561	-0.03935	-0.01424	-0.02454	-0.03935	-0.01485	0.01561	-0.02454	0.01561	0.04811	-0.01485	-0.00497	-0.01485	-0.01485	-0.00551	-0.00497	-0.03935	-0.01424	0.00014	0
3	-0.0045	-0.00192	-0.00781	-0.01038	-0.01038	0.02551	-0.00951	0.03234	0.02551	-0.01038	-0.00951	0.03234	0.02551	0.03234	-0.00951	-0.00951	-0.00781	0.00127	-0.0045	-0.00192	-0.00781	0.0274	-0.00192	0.02467	-0.0045	0.0274	-0.0045	0.03234	0.02467	0.00127	0.02467	0.02467	-0.01038	0.00127	-0.00192	-0.00781	0.02551	0
4	-0.00416	-0.00032	-0.01256	-0.00166	-0.00166	-0.00304	0.02901	-0.00345	-0.00304	-0.00166	0.02901	-0.00345	-0.00304	-0.00345	0.02901	0.02901	-0.01256	0.01367	-0.00416	-0.00032	-0.01256	-0.00226	-0.00032	0.00758	-0.00416	-0.00226	-0.00416	-0.00345	0.00758	0.01367	0.00758	0.00758	-0.00166	0.01367	-0.00032	-0.01256	-0.00304	0
5	-0.0036	-0.00218	-0.0065	0.00069	0.00069	-0.00153	0.00918	0.0324	-0.00153	0.00069	0.00918	0.0324	-0.00153	0.0324	0.00918	0.00918	-0.0065	0.00971	-0.0036	-0.00218	-0.0065	0.0387	-0.00218	-0.0211	-0.0036	0.0387	-0.0036	0.0324	-0.0211	0.00971	-0.0211	-0.0211	0.00069	0.00971	-0.00218	-0.0065	-0.00153	1
6	0.0059	0.00553	-0.00405	0.02696	0.02696	0.01368	-0.02414	-0.00808	0.01368	0.02696	-0.02414	-0.00808	0.01368	-0.00808	-0.02414	-0.02414	-0.00405	0.00276	0.0059	0.00553	-0.00405	0.00459	0.00553	0.01498	0.0059	0.00459	0.0059	-0.00808	0.01498	0.00276	0.01498	0.01498	0.02696	0.00276	0.00553	-0.00405	0.01368	1
7	-0.01648	0.01342	0.00962	0.01806	0.01806	0.01474	-0.03231	0.00683	0.01474	0.01806	-0.03231	0.00683	0.01474	0.00683	-0.03231	-0.03231	0.00962	-0.00355	-0.01648	0.01342	0.00962	-0.01153	0.01342	0.00128	-0.01648	-0.01153	-0.01648	0.00683	0.00128	-0.00355	0.00128	0.00128	0.01806	-0.00355	0.01342	0.00962	0.01474	1
8	0.00613	0.01583	-0.00587	0.00531	0.00531	0.00337	-0.0146	-0.00772	0.00337	0.00531	-0.0146	-0.00772	0.00337	-0.00772	-0.0146	-0.0146	-0.00587	-0.00666	0.00613	0.01583	-0.00587	0.01257	0.01583	0.00928	0.00613	0.01257	0.00613	-0.00772	0.00928	-0.00666	0.00928	0.00928	0.00531	-0.00666	0.01583	-0.00587	0.00337	1
9	-0.00033	-0.00386	0.05074	-0.0055	-0.0055	-0.00152	0.01949	0.04044	-0.00152	-0.0055	0.01949	0.04044	-0.00152	0.04044	0.01949	0.01949	0.05074	-0.02646	-0.00033	-0.00386	0.05074	0.02734	-0.00386	-0.00374	-0.00033	0.02734	-0.00033	0.04044	-0.00374	-0.02646	-0.00374	-0.00374	-0.0055	-0.02646	-0.00386	0.05074	-0.00152	0
10	0.01119	0.01473	-0.01426	0.02634	0.02634	-0.00234	-0.02249	0.04755	-0.00234	0.02634	-0.02249	0.04755	-0.00234	0.04755	-0.02249	-0.02249	-0.01426	-0.02558	0.01119	0.01473	-0.01426	0.01432	0.01473	-0.00372	0.01119	0.01432	0.01119	0.04755	-0.00372	-0.02558	-0.00372	-0.00372	0.02634	-0.02558	0.01473	-0.01426	-0.00234	0
11	0.00131	0.01589	-0.0177	-0.01699	-0.01699	-0.00142	0.00346	0.00194	-0.00142	-0.01699	0.00346	0.00194	-0.00142	0.00194	0.00346	0.00346	-0.0177	0.001	0.00131	0.01589	-0.0177	0.02122	0.01589	-0.0024	0.00131	0.02122	0.00131	0.00194	-0.0024	0.001	-0.0024	-0.0024	-0.01699	0.001	0.01589	-0.0177	-0.00142	1
