protein	class	features
VO_VO_0010857	1	-0.05227,16.25937,-0.28166,-0.00003,0.00022,0.00005,-0.06112,90.67048,-0.78630,0.00055,0.01874,-0.00011,-0.05033,-20.66406,-0.03245,-0.00002,0.00103,0.00018,0.14649,-43.21086,0.57000,-0.00030,-0.00480,0.00007,-0.04906,-4.23863,-0.67409,0.00004,0.00629,0.00021,-0.06706,3.66055,-0.38083,-0.00003,-0.00167,0.00004,0.10361,-31.60541,0.53262,-0.00001,0.00009,0.00000,0.07809,-6.78599,0.81088,-0.00005,-0.00162,0.00008,0.01104,-20.57256,-0.26562,0.00002,0.00197,0.00003
VO_VO_0010872	1	-0.02529,6.55887,-0.40347,0.00004,0.00254,-0.00026,0.07046,35.52613,0.31185,0.00023,0.01033,-0.00010,-0.04573,-18.17085,-0.39447,-0.00015,-0.00205,-0.00010,-0.03876,17.81641,-0.50365,-0.00000,0.00107,-0.00001,-0.03158,-52.91483,-0.44464,-0.00028,-0.00649,-0.00007,-0.07013,89.62146,-0.46507,0.00046,0.01385,0.00019,0.05832,42.39377,0.43510,0.00020,0.00572,-0.00016,0.00296,23.15158,-0.06450,-0.00001,-0.00082,-0.00002,-0.01439,-23.49213,0.25070,-0.00023,-0.00628,0.00027
VO_VO_0010873	1	-0.05227,16.25937,-0.28166,-0.00003,0.00022,0.00005,-0.06112,90.67048,-0.78630,0.00055,0.01874,-0.00011,-0.05033,-20.66406,-0.03245,-0.00002,0.00103,0.00018,0.14649,-43.21086,0.57000,-0.00030,-0.00480,0.00007,-0.04906,-4.23863,-0.67409,0.00004,0.00629,0.00021,-0.06706,3.66055,-0.38083,-0.00003,-0.00167,0.00004,0.10361,-31.60541,0.53262,-0.00001,0.00009,0.00000,0.07809,-6.78599,0.81088,-0.00005,-0.00162,0.00008,0.01104,-20.57256,-0.26562,0.00002,0.00197,0.00003
VO_VO_0010900	1	-0.08406,-19.39379,-0.57919,-0.00010,-0.00140,-0.00001,-0.10013,-9.63364,-0.74456,-0.00005,-0.00045,0.00007,0.03802,-15.21779,0.17709,-0.00003,0.00066,0.00007,0.00580,1.31449,0.10808,0.00019,0.00319,0.00007,-0.01352,26.56575,-0.12582,0.00020,0.00428,0.00006,-0.01573,24.76103,-0.08305,0.00020,0.00436,0.00007,-0.01311,-37.49767,-0.04332,-0.00020,-0.00504,0.00004,0.04800,-59.33073,0.15111,-0.00043,-0.00970,0.00003,0.02141,-11.42989,0.15879,-0.00002,0.00041,0.00008
VO_VO_0010903	1	-0.08258,-18.54213,-0.56127,-0.00009,-0.00128,-0.00002,-0.09906,-8.95169,-0.73706,-0.00005,-0.00033,0.00007,0.03672,-16.36697,0.16064,-0.00004,0.00061,0.00007,0.00551,-0.84042,0.11075,0.00018,0.00279,0.00007,-0.01469,26.53731,-0.13625,0.00020,0.00433,0.00006,-0.01531,21.85939,-0.08510,0.00019,0.00404,0.00007,-0.01338,-36.59629,-0.04532,-0.00020,-0.00495,0.00004,0.04748,-59.97251,0.14917,-0.00043,-0.00970,0.00003,0.02018,-12.72792,0.15531,-0.00003,0.00015,0.00008
VO_VO_0010904	1	0.00657,-7.37378,-0.00062,0.00002,0.00263,0.00009,-0.04535,-21.49129,-0.69572,-0.00011,0.00178,0.00005,-0.07819,-15.70569,-0.52064,0.00006,0.00140,0.00012,0.02125,-15.09487,0.04855,-0.00003,-0.00025,-0.00010,-0.03689,-28.08709,-0.28266,-0.00011,-0.00452,0.00007,0.00728,-43.24205,0.13620,-0.00021,-0.00623,0.00002,0.01837,10.85763,0.03047,0.00008,-0.00119,-0.00008,-0.00008,-11.22198,0.04302,-0.00006,-0.00260,0.00002,-0.02778,-34.12621,-0.12193,-0.00021,-0.00511,-0.00005
VO_VO_0010905	1	-0.04324,-2.71204,-0.31043,0.00000,0.00059,0.00003,-0.05441,3.81668,-0.68388,0.00011,0.00317,-0.00006,-0.00151,-37.68810,-0.12801,-0.00023,-0.00227,0.00004,0.01435,-19.72998,0.27863,-0.00017,-0.00488,0.00005,-0.02801,-3.74960,-0.41853,0.00007,0.00388,-0.00003,-0.03261,-13.96660,-0.36497,0.00002,0.00134,0.00006,0.02855,22.92459,0.13567,0.00013,0.00653,-0.00002,0.01796,8.41978,-0.04612,-0.00002,-0.00002,-0.00006,0.00058,-55.34162,-0.18089,-0.00042,-0.00739,0.00006
VO_VO_0010919	1	-0.07513,-55.53803,-0.88059,-0.00042,-0.00724,-0.00002,-0.11828,-77.63026,-1.06864,-0.00028,-0.00410,0.00016,0.09846,128.92605,0.57259,0.00040,0.01711,-0.00029,0.15145,-29.37992,0.73261,-0.00039,-0.00603,-0.00001,-0.13938,32.10738,-1.23501,0.00030,0.01192,-0.00047,-0.20093,-79.96045,-2.02830,-0.00042,-0.00633,-0.00019,0.22239,172.41980,2.29245,0.00109,0.02035,-0.00032,-0.00233,-145.36072,-0.37982,-0.00057,-0.01269,0.00040,-0.15953,-172.49151,-0.99605,-0.00081,-0.01609,0.00015
ACU444811_BibA_[Streptococcus_agalactiae]	1	-0.09260,-14.44131,-0.67152,0.00008,-0.00465,-0.00069,-0.02517,-9.93695,-0.15517,-0.00004,0.00687,-0.00029,-0.00547,-37.22572,0.21561,-0.00025,-0.00856,-0.00032,0.14375,94.85401,0.77146,0.00053,0.02452,0.00127,-0.09927,-56.75658,-0.55844,-0.00047,-0.01500,-0.00028,0.12398,-72.03304,0.39835,-0.00034,-0.00129,-0.00022,-0.04189,7.32464,-0.30927,-0.00002,-0.00449,-0.00035,0.07529,47.99838,0.62430,0.00002,0.00932,0.00102,-0.04421,-62.58925,-0.21659,-0.00025,-0.01658,-0.00029
AAD178861_hyaluronateassociated_protein_precursor_[Streptococcus_equi_subsp_equi_4047]	1	-0.01662,12.70754,-0.33290,0.00019,0.00451,-0.00006,-0.04412,-70.27502,-0.21854,-0.00030,-0.01272,-0.00005,0.02172,-80.52355,0.17885,-0.00046,-0.00976,0.00009,-0.00200,-49.60927,-0.27226,-0.00021,-0.00291,-0.00005,-0.04069,66.15343,-0.31256,0.00062,0.01492,-0.00008,-0.01935,4.64614,0.26504,0.00012,-0.00018,0.00009,-0.04047,45.30287,-0.39551,0.00020,0.00610,-0.00026,-0.03250,-67.60329,-0.29119,-0.00043,-0.01131,-0.00008,0.00469,33.54285,0.00505,0.00029,0.00747,0.00024
