protein	class	lag	features
>CR_Blatellagermanica(cockroach)_1	1	l1	0.00990,-0.00130,0.02229,-0.00173,0.00585
>CR_Blatellagermanica(cockroach)_1	1	l2	0.01650,-0.00727,0.01431,0.00930,0.00040
>CR_Blatellagermanica(cockroach)_1	1	l3	0.00949,0.00653,0.00787,-0.00803,0.00001
>CR_Blatellagermanica(cockroach)_1	1	l4	0.01783,0.00387,-0.07225,-0.00158,-0.01317
>CR_Blatellagermanica(cockroach)_1	1	l5	0.00419,-0.00463,-0.02557,0.00066,-0.00433
>CR_Blatellagermanica(cockroach)_1	1	l6	-0.00114,-0.00051,-0.01455,-0.00796,-0.00284
>CR_Blatellagermanica(cockroach)_1	1	l7	-0.00105,-0.00613,-0.01915,0.00164,0.00194
>CR_Blatellagermanica(cockroach)_1	1	l8	-0.00859,0.00238,0.05552,-0.01826,0.01723
>CR_Blatellagermanica(cockroach)_2	1	l1	-0.01315,0.01340,0.00700,-0.00182,-0.00909
>CR_Blatellagermanica(cockroach)_2	1	l2	-0.03362,-0.00997,-0.01863,0.00047,-0.00105
>CR_Blatellagermanica(cockroach)_2	1	l3	0.03567,0.00484,-0.02150,0.00158,0.00314
>CR_Blatellagermanica(cockroach)_2	1	l4	0.00304,0.01040,0.01105,0.00822,-0.00857
>CR_Blatellagermanica(cockroach)_2	1	l5	-0.04329,0.00112,0.02590,0.00040,0.00196
>CR_Blatellagermanica(cockroach)_2	1	l6	0.02664,0.00400,0.00829,-0.00178,0.01580
>CR_Blatellagermanica(cockroach)_2	1	l7	0.01867,0.01837,-0.00972,0.00824,0.00171
>CR_Blatellagermanica(cockroach)_2	1	l8	-0.03297,0.01247,0.00610,0.00340,-0.02142
>CR_Blatellagermanica(cockroach)_3	1	l1	0.01874,-0.00854,0.00078,0.02797,-0.00155
>CR_Blatellagermanica(cockroach)_3	1	l2	-0.00352,-0.00234,0.00581,-0.00013,0.00377
>CR_Blatellagermanica(cockroach)_3	1	l3	0.00584,0.03137,0.01231,-0.02441,-0.00276
>CR_Blatellagermanica(cockroach)_3	1	l4	0.00790,-0.00725,0.01236,-0.03525,-0.00186
>CR_Blatellagermanica(cockroach)_3	1	l5	-0.02366,-0.02273,0.00672,-0.03416,-0.00014
>CR_Blatellagermanica(cockroach)_3	1	l6	-0.02603,-0.03720,0.00603,-0.00089,0.00066
>CR_Blatellagermanica(cockroach)_3	1	l7	-0.00766,-0.02916,0.01650,0.01909,0.00386
>CR_Blatellagermanica(cockroach)_3	1	l8	0.00044,0.03258,0.01146,0.01817,-0.00008
>CR_Blatellagermanica(cockroach)_4	1	l1	-0.01428,0.00908,-0.01937,0.01751,0.00107
>CR_Blatellagermanica(cockroach)_4	1	l2	-0.01756,0.02401,0.02301,0.01714,-0.00573
>CR_Blatellagermanica(cockroach)_4	1	l3	0.01280,-0.02469,0.03131,0.02543,0.01858
>CR_Blatellagermanica(cockroach)_4	1	l4	-0.01633,-0.01131,-0.02302,0.03386,-0.00783
>CR_Blatellagermanica(cockroach)_4	1	l5	0.01811,-0.05081,0.06194,0.01530,0.00741
>CR_Blatellagermanica(cockroach)_4	1	l6	0.00520,-0.00488,-0.00744,0.01769,0.02249
>CR_Blatellagermanica(cockroach)_4	1	l7	-0.01433,-0.02968,0.05043,0.03287,0.00705
>CR_Blatellagermanica(cockroach)_4	1	l8	0.00156,0.00987,-0.00249,0.01994,0.00370
>CR_Blatellagermanica(cockroach)_5	1	l1	-0.00015,0.00141,-0.02595,-0.00967,-0.02299
>CR_Blatellagermanica(cockroach)_5	1	l2	-0.00677,0.01730,-0.00896,0.00486,-0.01391
>CR_Blatellagermanica(cockroach)_5	1	l3	0.00520,-0.00575,0.00529,-0.01220,0.02325
>CR_Blatellagermanica(cockroach)_5	1	l4	-0.01828,0.00491,-0.00993,-0.01666,-0.00046
>CR_Blatellagermanica(cockroach)_5	1	l5	-0.00546,-0.00339,-0.00611,0.00316,-0.02269
>CR_Blatellagermanica(cockroach)_5	1	l6	0.00585,0.01533,-0.03315,-0.00307,0.01273
>CR_Blatellagermanica(cockroach)_5	1	l7	-0.01849,-0.01406,0.06375,0.00747,0.00480
