protein	class	features
>CR_Blatellagermanica(cockroach)_1	1	0.00990,-0.00130,0.02229,-0.00173,0.00585,0.01650,-0.00727,0.01431,0.00930,0.00040,0.00949,0.00653,0.00787,-0.00803,0.00001,0.01783,0.00387,-0.07225,-0.00158,-0.01317,0.00419,-0.00463,-0.02557,0.00066,-0.00433,-0.00114,-0.00051,-0.01455,-0.00796,-0.00284,-0.00105,-0.00613,-0.01915,0.00164,0.00194,-0.00859,0.00238,0.05552,-0.01826,0.01723
>CR_Blatellagermanica(cockroach)_2	1	-0.01315,0.01340,0.00700,-0.00182,-0.00909,-0.03362,-0.00997,-0.01863,0.00047,-0.00105,0.03567,0.00484,-0.02150,0.00158,0.00314,0.00304,0.01040,0.01105,0.00822,-0.00857,-0.04329,0.00112,0.02590,0.00040,0.00196,0.02664,0.00400,0.00829,-0.00178,0.01580,0.01867,0.01837,-0.00972,0.00824,0.00171,-0.03297,0.01247,0.00610,0.00340,-0.02142
>CR_Blatellagermanica(cockroach)_3	1	0.01874,-0.00854,0.00078,0.02797,-0.00155,-0.00352,-0.00234,0.00581,-0.00013,0.00377,0.00584,0.03137,0.01231,-0.02441,-0.00276,0.00790,-0.00725,0.01236,-0.03525,-0.00186,-0.02366,-0.02273,0.00672,-0.03416,-0.00014,-0.02603,-0.03720,0.00603,-0.00089,0.00066,-0.00766,-0.02916,0.01650,0.01909,0.00386,0.00044,0.03258,0.01146,0.01817,-0.00008
>CR_Blatellagermanica(cockroach)_4	1	-0.01428,0.00908,-0.01937,0.01751,0.00107,-0.01756,0.02401,0.02301,0.01714,-0.00573,0.01280,-0.02469,0.03131,0.02543,0.01858,-0.01633,-0.01131,-0.02302,0.03386,-0.00783,0.01811,-0.05081,0.06194,0.01530,0.00741,0.00520,-0.00488,-0.00744,0.01769,0.02249,-0.01433,-0.02968,0.05043,0.03287,0.00705,0.00156,0.00987,-0.00249,0.01994,0.00370
>CR_Blatellagermanica(cockroach)_5	1	-0.00015,0.00141,-0.02595,-0.00967,-0.02299,-0.00677,0.01730,-0.00896,0.00486,-0.01391,0.00520,-0.00575,0.00529,-0.01220,0.02325,-0.01828,0.00491,-0.00993,-0.01666,-0.00046,-0.00546,-0.00339,-0.00611,0.00316,-0.02269,0.00585,0.01533,-0.03315,-0.00307,0.01273,-0.01849,-0.01406,0.06375,0.00747,0.00480,0.00408,-0.00458,-0.01964,0.01916,-0.00725
>CR_Blatellagermanica(cockroach)_6	1	0.00091,0.00836,0.01412,0.00183,-0.02353,-0.01070,0.00281,0.01673,0.00708,0.00696,0.00116,-0.00069,-0.00309,0.02266,0.01509,-0.00877,0.01669,-0.03391,0.00174,-0.01769,-0.00124,0.00870,-0.00043,0.01057,0.02588,0.00475,-0.01964,0.00050,0.01495,-0.02366,0.01745,-0.00698,0.01686,0.00667,0.02775,-0.00451,-0.00652,0.03345,0.01295,-0.00208
>CR_Blatellagermanica(cockroach)_7	1	-0.02216,0.02004,0.00727,-0.01209,-0.00805,0.02537,0.02513,-0.00552,-0.02372,0.00581,-0.02184,0.02505,0.00601,0.01496,0.00027,-0.01865,0.01797,-0.00420,0.00382,-0.01122,0.00147,0.02644,-0.00664,-0.01911,0.00943,-0.02189,0.02078,0.00171,0.02500,-0.01302,0.00249,0.02723,-0.00689,0.00849,0.00165,0.00020,0.02207,-0.00785,-0.04551,-0.00715
>CR_Blatellagermanica(cockroach)_8	1	-0.01917,0.00369,0.01229,0.00884,-0.00580,-0.01092,0.00176,-0.01243,-0.00415,-0.00499,0.02281,-0.00761,-0.01344,-0.00111,-0.01615,-0.03089,0.00004,0.01216,0.00569,0.02181,0.02957,-0.00634,0.02545,0.00510,0.00865,0.00579,-0.00319,-0.00711,-0.00064,0.00426,-0.03347,-0.00712,-0.02514,-0.00723,-0.02217,0.02975,-0.00336,-0.01685,-0.00285,0.00671
>CR_Blatellagermanica(cockroach)_9	1	0.00214,-0.01155,0.03729,0.01015,0.00478,0.00438,0.00252,0.02160,0.00430,0.01637,0.00638,-0.02129,0.03784,0.00400,0.00420,-0.01158,-0.00887,0.03679,-0.00709,0.01907,0.00232,0.02158,0.01607,-0.00588,-0.00749,-0.01526,0.00251,0.05238,0.00818,0.01149,-0.00614,0.03363,0.06419,0.01641,0.00768,0.01793,-0.02413,0.03540,0.01580,0.00543
>CR_Blatellagermanica(cockroach)_10	1	-0.00495,0.01650,0.01088,0.00083,0.00994,-0.02987,-0.01404,0.00384,-0.00024,-0.01460,0.00231,0.00338,0.00813,0.00758,-0.02170,0.02766,0.01262,0.00521,0.00746,-0.00332,0.00816,-0.00451,0.00714,0.00840,0.00125,-0.06248,0.00507,0.00754,-0.01079,-0.00208,0.00832,0.00744,0.00605,0.01073,0.01626,0.04180,0.00390,0.02100,0.00884,0.01022
>CR_Blatellagermanica(cockroach)_11	1	-0.02907,-0.00304,-0.00408,-0.00308,0.00564,0.02013,0.00137,0.00238,-0.00489,-0.00897,-0.02104,-0.01675,0.00176,-0.00028,-0.01021,0.01551,-0.01929,-0.00317,-0.00820,-0.00123,-0.03361,0.00390,-0.00089,-0.00680,0.00321,0.01381,-0.00108,-0.00090,0.00037,0.01386,0.00184,0.01523,-0.00029,0.00537,0.00596,-0.02718,0.00851,-0.00229,-0.00773,-0.00837
>CR_Blatellagermanica(cockroach)_12	1	-0.00542,0.00739,-0.00637,0.01892,-0.00028,-0.00351,-0.00048,-0.01065,0.02352,-0.00580,0.00263,0.02430,0.01157,0.02616,0.01295,-0.02678,0.00016,0.00084,0.01509,0.00139,-0.00262,-0.01059,-0.03232,0.01893,-0.00679,-0.01176,0.00760,0.02364,0.02565,-0.00155,-0.00291,-0.00990,0.00803,0.01024,0.00707,0.03527,-0.00110,-0.02091,0.01631,-0.01423
>CR_Blatellagermanica(cockroach)_13	1	0.00122,0.02582,0.00819,0.01463,0.00984,-0.01916,-0.00105,0.00611,0.01946,0.01212,0.01091,0.02016,0.00417,0.02140,0.03421,0.02685,-0.00337,-0.01339,0.01271,-0.01145,-0.00981,-0.03238,-0.00660,0.01437,-0.00371,-0.02777,0.00076,-0.02696,0.00842,0.00628,0.01456,-0.01927,0.00878,0.00362,-0.01131,0.02256,-0.04684,0.01396,0.00249,-0.00951
>CR_Blatellagermanica(cockroach)_14	1	0.00476,0.02188,0.01054,-0.00296,0.01372,0.01150,-0.03813,-0.00339,0.00605,0.00465,0.03100,-0.04912,0.01094,-0.01312,0.01340,0.01359,0.02969,0.01260,0.01208,0.00988,0.02385,0.02958,-0.00209,-0.01173,-0.01071,0.02633,-0.05504,-0.00541,0.02322,0.00112,0.01076,-0.05836,0.00115,0.01978,0.00823,0.02349,0.01851,0.00223,0.00388,0.00715
>CR_Blatellagermanica(cockroach)_15	1	-0.01407,0.00729,-0.00507,0.00704,-0.00083,0.00492,-0.02136,0.00926,0.01010,0.00186,-0.00932,-0.01036,-0.00592,-0.00899,0.02533,0.03915,-0.00165,0.00231,0.00606,-0.00738,-0.01511,0.00709,-0.00938,-0.00021,0.01301,-0.00592,0.00216,0.00943,0.02334,0.02364,-0.00671,0.01706,0.00040,-0.00034,-0.01799,0.01011,0.00847,-0.00282,-0.00011,0.00663
>CR_Blatellagermanica(cockroach)_16	1	0.01644,-0.01180,0.00297,0.00483,0.00068,-0.00268,-0.00829,-0.01328,0.00398,-0.00530,-0.01526,0.02803,-0.00293,0.00627,0.01448,-0.00537,-0.00877,0.01617,0.00135,0.01249,-0.01720,0.00746,-0.00111,0.00278,-0.00577,0.00652,0.00388,-0.00777,-0.00149,-0.00038,0.00698,-0.01718,-0.00664,-0.01057,0.01690,-0.00522,0.01398,0.00013,-0.00779,0.00467
>CR_Blatellagermanica(cockroach)_17	1	0.00440,-0.00517,-0.02813,0.00134,0.03375,-0.00947,0.00262,0.00210,0.01004,0.02980,-0.00923,-0.00957,-0.01148,0.00210,0.02084,0.00137,0.01218,0.01525,0.01247,0.00643,0.00227,0.02475,0.01591,0.00274,-0.00376,0.00737,0.05870,-0.03213,0.00242,-0.02551,0.00140,-0.03944,0.01740,-0.00182,-0.03196,-0.00183,0.00407,-0.00706,0.00690,-0.03702
>CR_Blatellagermanica(cockroach)_18	1	0.00058,0.00531,0.00493,0.01134,-0.02241,-0.02577,0.00345,-0.01358,-0.00765,0.00130,-0.00214,0.01821,0.00882,0.00850,0.00724,0.01625,-0.00519,0.00792,0.00729,-0.01928,0.01115,0.00187,-0.00538,-0.00775,0.02873,-0.03480,-0.01123,-0.01245,-0.00649,-0.02093,-0.00004,-0.01357,-0.01494,0.00390,0.01199,0.01886,-0.01356,-0.00956,0.01363,0.01433
>CR_Blatellagermanica(cockroach)_19	1	-0.01513,0.01978,-0.00545,0.00004,0.00019,0.00430,-0.00797,0.00455,-0.01621,-0.00411,0.01411,-0.04179,0.00078,0.00400,0.00395,-0.01954,-0.02164,0.00418,0.01640,0.01812,-0.00767,0.01829,-0.00753,0.00620,-0.00567,0.01452,0.02134,-0.00007,-0.00680,-0.01830,-0.01868,-0.00829,0.00586,0.01128,0.01329,0.03633,-0.03576,-0.01449,0.01430,0.01354
>CR_Blatellagermanica(cockroach)_20	1	0.00028,0.00840,-0.00337,0.00115,-0.03288,0.00472,-0.00840,0.00346,-0.01560,0.01471,0.00600,0.01468,-0.00279,-0.00477,-0.00853,-0.02019,-0.00233,-0.01367,-0.00419,-0.00698,-0.00748,-0.00536,-0.00082,0.00093,0.02466,-0.01775,0.01853,-0.00465,-0.02733,-0.02798,-0.01897,0.00177,-0.00413,-0.01516,0.02532,0.00239,-0.01633,0.00329,0.02629,-0.02562
>CR_Blatellagermanica(cockroach)_21	1	0.00587,0.00301,0.01468,0.00696,-0.00871,-0.00750,-0.00214,0.02100,-0.02278,0.01228,-0.01734,-0.00373,-0.00701,0.00363,0.00379,-0.01582,0.00709,0.01072,0.01775,-0.00535,0.01158,-0.00200,0.01048,0.00299,0.00538,0.02375,-0.00271,0.03131,-0.02059,-0.00499,0.01878,-0.01294,-0.00496,0.00602,0.02145,-0.01528,-0.02406,-0.00896,0.02020,-0.00411
>CR_Blatellagermanica(cockroach)_22	1	-0.02596,0.00326,-0.00552,-0.01097,0.01017,-0.00508,-0.00156,0.01728,-0.00203,-0.00343,0.01279,-0.00957,-0.00532,0.00800,-0.00654,-0.01532,0.00269,0.00568,-0.00729,-0.01031,0.00069,-0.01694,-0.00670,0.00112,-0.00427,0.02171,0.01702,0.00742,0.00409,0.00471,-0.03978,0.02143,-0.00453,0.00421,0.00764,0.02134,0.01976,0.00774,-0.00373,0.00864
>CR_Blatellagermanica(cockroach)_23	1	0.00166,0.02186,0.00404,-0.01024,-0.00131,-0.00768,-0.03634,-0.01268,0.01136,-0.00376,0.02940,-0.02558,-0.00500,0.00001,0.00045,0.01842,-0.00275,0.00250,-0.00947,-0.00644,-0.01086,-0.00154,-0.00340,-0.00797,0.00283,0.00497,-0.02850,-0.00587,-0.00169,0.00607,0.03024,-0.02278,0.00382,-0.00606,0.00772,-0.00084,0.02671,-0.00008,-0.01840,-0.00331
>CR_Blatellagermanica(cockroach)_24	1	-0.01270,-0.04701,-0.00310,0.00484,0.00744,0.01131,0.01477,-0.00097,0.00921,-0.00229,-0.02117,-0.03572,0.00210,0.00404,0.00225,-0.00853,0.03723,-0.00716,-0.00635,-0.00424,0.01434,-0.02584,0.00271,0.01544,-0.01232,0.01637,0.03380,-0.00028,-0.00589,-0.01915,0.02921,-0.01474,0.00191,0.01620,-0.01145,-0.03107,-0.02245,0.00378,0.00587,0.00579
>CR_Blatellagermanica(cockroach)_25	1	-0.01792,0.00145,0.02117,-0.00537,-0.00799,-0.01417,-0.00145,-0.00370,0.00055,-0.01154,0.00526,-0.01260,0.00771,0.00170,0.01414,0.01172,-0.00763,-0.06539,0.00302,-0.01110,-0.00139,-0.00174,-0.02792,-0.00658,-0.00061,-0.03183,0.00234,0.01213,-0.00143,0.00526,0.03153,0.01178,-0.01315,-0.00028,-0.00644,-0.00343,0.00811,0.04497,-0.00072,0.00957
