	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	preds_binary
0	0.01536	0.02119	-0.00052	-0.00547	0.00321	0.02119	-0.00052	-0.00547	0.00321	0.01536	-0.00052	-0.00547	0.00321	0.01536	0.02119	-0.00547	0.00321	0.01536	0.02119	-0.00052	1
1	0.00634	0.01057	0.00749	0.00119	0.00739	0.01057	0.00749	0.00119	0.00739	0.00634	0.00749	0.00119	0.00739	0.00634	0.01057	0.00119	0.00739	0.00634	0.01057	0.00749	1
2	0.00777	0.00838	0.00669	0.00154	0.00669	0.00838	0.00669	0.00154	0.00669	0.00777	0.00669	0.00154	0.00669	0.00777	0.00838	0.00154	0.00669	0.00777	0.00838	0.00669	1
3	0.00736	0.00808	0.00852	-0.00197	0.00329	0.00808	0.00852	-0.00197	0.00329	0.00736	0.00852	-0.00197	0.00329	0.00736	0.00808	-0.00197	0.00329	0.00736	0.00808	0.00852	1
4	0.0023	0.01219	0.00595	-0.00427	0.00181	0.01219	0.00595	-0.00427	0.00181	0.0023	0.00595	-0.00427	0.00181	0.0023	0.01219	-0.00427	0.00181	0.0023	0.01219	0.00595	1
5	0.01886	0.0073	0.00846	-0.00115	-0.0032	0.0073	0.00846	-0.00115	-0.0032	0.01886	0.00846	-0.00115	-0.0032	0.01886	0.0073	-0.00115	-0.0032	0.01886	0.0073	0.00846	1
6	0.00469	0.01654	0.01014	-5e-05	0.00262	0.01654	0.01014	-5e-05	0.00262	0.00469	0.01014	-5e-05	0.00262	0.00469	0.01654	-5e-05	0.00262	0.00469	0.01654	0.01014	1
7	0.00403	0.01033	0.00626	0.00086	0.00074	0.01033	0.00626	0.00086	0.00074	0.00403	0.00626	0.00086	0.00074	0.00403	0.01033	0.00086	0.00074	0.00403	0.01033	0.00626	1
8	0.00218	0.00549	0.00523	-0.00296	0.00336	0.00549	0.00523	-0.00296	0.00336	0.00218	0.00523	-0.00296	0.00336	0.00218	0.00549	-0.00296	0.00336	0.00218	0.00549	0.00523	1
9	-0.0018	0.00959	0.0068	0.0052	0.00141	0.00959	0.0068	0.0052	0.00141	-0.0018	0.0068	0.0052	0.00141	-0.0018	0.00959	0.0052	0.00141	-0.0018	0.00959	0.0068	1
10	0.00021	0.01176	0.00907	0.00263	0.00076	0.01176	0.00907	0.00263	0.00076	0.00021	0.00907	0.00263	0.00076	0.00021	0.01176	0.00263	0.00076	0.00021	0.01176	0.00907	1
11	0.00294	0.00882	0.01131	-0.00384	0.0029	0.00882	0.01131	-0.00384	0.0029	0.00294	0.01131	-0.00384	0.0029	0.00294	0.00882	-0.00384	0.0029	0.00294	0.00882	0.01131	1
12	0.0118	0.00877	0.00711	0.00116	0.00272	0.00877	0.00711	0.00116	0.00272	0.0118	0.00711	0.00116	0.00272	0.0118	0.00877	0.00116	0.00272	0.0118	0.00877	0.00711	1
13	0.00524	0.01278	0.00615	0.00574	0.00627	0.01278	0.00615	0.00574	0.00627	0.00524	0.00615	0.00574	0.00627	0.00524	0.01278	0.00574	0.00627	0.00524	0.01278	0.00615	1
14	0.00714	0.01448	0.00932	-0.00053	0.00243	0.01448	0.00932	-0.00053	0.00243	0.00714	0.00932	-0.00053	0.00243	0.00714	0.01448	-0.00053	0.00243	0.00714	0.01448	0.00932	1
15	0.00225	0.00395	0.00537	0.00183	0.0024	0.00395	0.00537	0.00183	0.0024	0.00225	0.00537	0.00183	0.0024	0.00225	0.00395	0.00183	0.0024	0.00225	0.00395	0.00537	1
16	0.00593	0.01118	0.00848	0.00067	0.00406	0.01118	0.00848	0.00067	0.00406	0.00593	0.00848	0.00067	0.00406	0.00593	0.01118	0.00067	0.00406	0.00593	0.01118	0.00848	1
17	0.00485	0.00493	0.00712	-0.00102	0.01167	0.00493	0.00712	-0.00102	0.01167	0.00485	0.00712	-0.00102	0.01167	0.00485	0.00493	-0.00102	0.01167	0.00485	0.00493	0.00712	1
18	0.00431	-0.00026	0.00439	0.00105	0.00593	-0.00026	0.00439	0.00105	0.00593	0.00431	0.00439	0.00105	0.00593	0.00431	-0.00026	0.00105	0.00593	0.00431	-0.00026	0.00439	1
19	0.00414	0.01475	0.00477	-0.00386	0.00312	0.01475	0.00477	-0.00386	0.00312	0.00414	0.00477	-0.00386	0.00312	0.00414	0.01475	-0.00386	0.00312	0.00414	0.01475	0.00477	1
20	0.00456	0.00563	0.01018	-0.0017	0.00379	0.00563	0.01018	-0.0017	0.00379	0.00456	0.01018	-0.0017	0.00379	0.00456	0.00563	-0.0017	0.00379	0.00456	0.00563	0.01018	1
