	f1	f2	f3	f4	f5	preds_binary
0	0.00027	0.01203	0.02758	-0.00242	0.0012	1
1	-0.0019	0.00626	0.00822	0.00872	0.00154	1
2	0.00278	0.00921	0.00816	0.00434	-0.00294	1
3	0.00489	0.019	0.01169	0.0074	0.00037	1
4	-0.00107	0.0038	0.01103	0.0064	0.00257	1
5	0.00285	0.01122	0.00199	0.00938	0.0003	1
6	0.00155	0.00639	0.00984	0.01134	0.00362	1
7	-0.00131	0.00406	0.00472	0.00407	-0.00048	1
8	0.00216	0.00191	0.00294	0.00601	-0.00057	1
9	-0.00218	-0.00373	0.00206	0.00428	-0.00969	1
10	0.00626	0.00183	-0.00126	0.00589	-0.00077	1
11	0.00769	0.00648	0.00528	0.01284	0.00181	1
12	-0.00244	0.00684	0.00892	0.00561	0.00041	1
13	0.00121	0.00604	0.00576	0.00751	0.00356	1
14	0.00452	0.00439	0.00952	0.00453	-0.00044	1
15	0.00287	0.00543	0.0009	0.00594	-0.00159	1
16	0.00807	0.00595	0.00396	0.00727	-0.00055	1
17	0.0084	0.00473	0.00713	0.00585	0.00181	1
18	-0.0008	0.00266	0.00813	0.00653	-0.00102	1
19	0.00668	0.01193	0.01514	0.00898	0.00483	1
20	0.0047	0.00629	0.00725	0.00816	0.00716	1
21	0.00125	0.00832	0.00677	0.00443	0.00175	1
22	0.00378	0.00272	0.00878	0.00764	-0.0023	1
23	0.00048	0.01026	0.00581	0.00334	0.00154	1
24	0.0048	0.00463	0.00654	0.00819	0.00102	1
25	0.00688	0.01186	0.01705	0.00088	0.00087	1
26	0.00119	-0.0005	0.00269	0.00055	-0.00054	1
27	0.00491	0.00728	0.00646	0.00679	0.00473	1
28	0.00027	0.01203	0.02758	-0.00242	0.0012	1
29	-0.0019	0.00626	0.00822	0.00872	0.00154	1
30	0.00278	0.00921	0.00816	0.00434	-0.00294	1
31	0.00489	0.019	0.01169	0.0074	0.00037	1
32	-0.00107	0.0038	0.01103	0.0064	0.00257	1
33	0.00285	0.01122	0.00199	0.00938	0.0003	1
34	0.00155	0.00639	0.00984	0.01134	0.00362	1
35	-0.00131	0.00406	0.00472	0.00407	-0.00048	1
36	0.00216	0.00191	0.00294	0.00601	-0.00057	1
37	-0.00218	-0.00373	0.00206	0.00428	-0.00969	1
38	0.00626	0.00183	-0.00126	0.00589	-0.00077	1
39	0.00769	0.00648	0.00528	0.01284	0.00181	1
40	-0.00244	0.00684	0.00892	0.00561	0.00041	1
41	0.00121	0.00604	0.00576	0.00751	0.00356	1
42	0.00452	0.00439	0.00952	0.00453	-0.00044	1
43	0.00287	0.00543	0.0009	0.00594	-0.00159	1
44	0.00807	0.00595	0.00396	0.00727	-0.00055	1
45	0.0084	0.00473	0.00713	0.00585	0.00181	1
46	-0.0008	0.00266	0.00813	0.00653	-0.00102	1
47	0.00668	0.01193	0.01514	0.00898	0.00483	1
48	0.0047	0.00629	0.00725	0.00816	0.00716	1
49	0.00125	0.00832	0.00677	0.00443	0.00175	1
50	0.00378	0.00272	0.00878	0.00764	-0.0023	1
51	0.00048	0.01026	0.00581	0.00334	0.00154	1
52	0.0048	0.00463	0.00654	0.00819	0.00102	1
53	0.00688	0.01186	0.01705	0.00088	0.00087	1
54	0.00119	-0.0005	0.00269	0.00055	-0.00054	1
55	0.00491	0.00728	0.00646	0.00679	0.00473	1
56	0.00027	0.01203	0.02758	-0.00242	0.0012	1
57	-0.0019	0.00626	0.00822	0.00872	0.00154	1
58	0.00278	0.00921	0.00816	0.00434	-0.00294	1
59	0.00489	0.019	0.01169	0.0074	0.00037	1
60	-0.00107	0.0038	0.01103	0.0064	0.00257	1
61	0.00285	0.01122	0.00199	0.00938	0.0003	1
62	0.00155	0.00639	0.00984	0.01134	0.00362	1
63	-0.00131	0.00406	0.00472	0.00407	-0.00048	1
64	0.00216	0.00191	0.00294	0.00601	-0.00057	1
65	-0.00218	-0.00373	0.00206	0.00428	-0.00969	1
66	0.00626	0.00183	-0.00126	0.00589	-0.00077	1
67	0.00769	0.00648	0.00528	0.01284	0.00181	1
68	-0.00244	0.00684	0.00892	0.00561	0.00041	1
69	0.00121	0.00604	0.00576	0.00751	0.00356	1
70	0.00452	0.00439	0.00952	0.00453	-0.00044	1
71	0.00287	0.00543	0.0009	0.00594	-0.00159	1
72	0.00807	0.00595	0.00396	0.00727	-0.00055	1
73	0.0084	0.00473	0.00713	0.00585	0.00181	1
74	-0.0008	0.00266	0.00813	0.00653	-0.00102	1
75	0.00668	0.01193	0.01514	0.00898	0.00483	1
76	0.0047	0.00629	0.00725	0.00816	0.00716	1
77	0.00125	0.00832	0.00677	0.00443	0.00175	1
78	0.00378	0.00272	0.00878	0.00764	-0.0023	1
79	0.00048	0.01026	0.00581	0.00334	0.00154	1
80	0.0048	0.00463	0.00654	0.00819	0.00102	1
81	0.00688	0.01186	0.01705	0.00088	0.00087	1
82	0.00119	-0.0005	0.00269	0.00055	-0.00054	1
83	0.00491	0.00728	0.00646	0.00679	0.00473	1
