	f1	f2	f3	f4	f5	preds_binary
0	0.00041	0.01505	0.02338	0.00202	0.00424	0
1	0.00809	0.0044	0.00651	0.00665	0.00578	0
2	0.00129	0.00905	0.00994	0.00293	-0.00133	0
3	0.00497	0.0138	0.01464	0.01058	0.00031	0
4	-0.00193	-8e-05	0.0142	0.00584	0.00401	0
5	0.00394	0.01678	0.00759	0.01062	0.00091	0
6	0.0022	0.00405	0.01028	0.00949	-0.00272	0
7	0.00305	0.00212	0.0103	0.00383	-0.00035	0
8	0.00089	0.00419	0.00583	0.00468	-0.00035	0
9	0.00411	-0.00882	-0.00084	0.00538	0.00557	0
10	0.0085	-0.00244	0.00243	0.00377	-0.00249	0
11	0.00417	0.01028	0.00988	0.01072	0.00032	0
12	0.00332	0.01123	0.00691	0.00275	-0.00297	0
13	-0.00055	0.0011	0.00677	0.00618	-6e-05	0
14	0.005	0.00995	0.01044	0.01075	0.00018	0
15	0.00239	0.00483	0.0025	0.00648	0.00292	0
16	-0.00013	0.00742	0.00213	0.00585	0.00181	0
17	-0.00084	0.00011	0.00803	0.00703	0.00106	0
18	0.00032	0.00509	0.00697	0.00336	-0.00107	0
19	0.00671	0.00729	0.00967	0.00879	0.00163	0
20	-0.00518	0.00815	0.00591	0.00953	-0.00015	0
21	0.00016	0.00694	0.00099	0.00358	0.00139	0
22	0.00423	0.00257	0.00615	0.01011	-0.00091	0
23	0.00526	0.00898	0.0089	0.00432	0.00051	0
24	0.00112	0.00252	0.00874	0.00692	-0.00141	0
25	-0.00266	0.00681	0.00406	0.00169	-0.00455	0
26	0.00544	-0.00266	-0.00165	0.00493	-0.00529	0
27	0.00382	0.00821	0.00816	0.00789	-0.00493	0
28	0.00041	0.01505	0.02338	0.00202	0.00424	0
29	0.00809	0.0044	0.00651	0.00665	0.00578	0
30	0.00129	0.00905	0.00994	0.00293	-0.00133	0
31	0.00497	0.0138	0.01464	0.01058	0.00031	0
32	-0.00193	-8e-05	0.0142	0.00584	0.00401	0
33	0.00394	0.01678	0.00759	0.01062	0.00091	0
34	0.0022	0.00405	0.01028	0.00949	-0.00272	0
35	0.00305	0.00212	0.0103	0.00383	-0.00035	0
36	0.00089	0.00419	0.00583	0.00468	-0.00035	0
37	0.00411	-0.00882	-0.00084	0.00538	0.00557	0
38	0.0085	-0.00244	0.00243	0.00377	-0.00249	0
39	0.00417	0.01028	0.00988	0.01072	0.00032	0
40	0.00332	0.01123	0.00691	0.00275	-0.00297	0
41	-0.00055	0.0011	0.00677	0.00618	-6e-05	0
42	0.005	0.00995	0.01044	0.01075	0.00018	0
43	0.00239	0.00483	0.0025	0.00648	0.00292	0
44	-0.00013	0.00742	0.00213	0.00585	0.00181	0
45	-0.00084	0.00011	0.00803	0.00703	0.00106	0
46	0.00032	0.00509	0.00697	0.00336	-0.00107	0
47	0.00671	0.00729	0.00967	0.00879	0.00163	0
48	-0.00518	0.00815	0.00591	0.00953	-0.00015	0
49	0.00016	0.00694	0.00099	0.00358	0.00139	0
50	0.00423	0.00257	0.00615	0.01011	-0.00091	0
51	0.00526	0.00898	0.0089	0.00432	0.00051	0
52	0.00112	0.00252	0.00874	0.00692	-0.00141	0
53	-0.00266	0.00681	0.00406	0.00169	-0.00455	0
54	0.00544	-0.00266	-0.00165	0.00493	-0.00529	0
55	0.00382	0.00821	0.00816	0.00789	-0.00493	0
56	0.00041	0.01505	0.02338	0.00202	0.00424	0
57	0.00809	0.0044	0.00651	0.00665	0.00578	0
58	0.00129	0.00905	0.00994	0.00293	-0.00133	0
59	0.00497	0.0138	0.01464	0.01058	0.00031	0
60	-0.00193	-8e-05	0.0142	0.00584	0.00401	0
61	0.00394	0.01678	0.00759	0.01062	0.00091	0
62	0.0022	0.00405	0.01028	0.00949	-0.00272	0
63	0.00305	0.00212	0.0103	0.00383	-0.00035	0
64	0.00089	0.00419	0.00583	0.00468	-0.00035	0
65	0.00411	-0.00882	-0.00084	0.00538	0.00557	0
66	0.0085	-0.00244	0.00243	0.00377	-0.00249	0
67	0.00417	0.01028	0.00988	0.01072	0.00032	0
68	0.00332	0.01123	0.00691	0.00275	-0.00297	0
69	-0.00055	0.0011	0.00677	0.00618	-6e-05	0
70	0.005	0.00995	0.01044	0.01075	0.00018	0
71	0.00239	0.00483	0.0025	0.00648	0.00292	0
72	-0.00013	0.00742	0.00213	0.00585	0.00181	0
73	-0.00084	0.00011	0.00803	0.00703	0.00106	0
74	0.00032	0.00509	0.00697	0.00336	-0.00107	0
75	0.00671	0.00729	0.00967	0.00879	0.00163	0
76	-0.00518	0.00815	0.00591	0.00953	-0.00015	0
77	0.00016	0.00694	0.00099	0.00358	0.00139	0
78	0.00423	0.00257	0.00615	0.01011	-0.00091	0
79	0.00526	0.00898	0.0089	0.00432	0.00051	0
80	0.00112	0.00252	0.00874	0.00692	-0.00141	0
81	-0.00266	0.00681	0.00406	0.00169	-0.00455	0
82	0.00544	-0.00266	-0.00165	0.00493	-0.00529	0
83	0.00382	0.00821	0.00816	0.00789	-0.00493	0
