mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l1	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l1	sgd	0.14387	0.14789	0.22625	0.72038	0.08561	0.14868	0.22397	0.14340
auto	l1	nearestCentroid	0.24894	0.16295	0.52821	0.51443	0.03094	0.01949	0.07707	0.02361
auto	l1	adaboost	0.01473	0.16714	0.00777	0.84554	0.02701	0.27022	0.01433	0.00357
auto	l1	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l1	DecisionTree	0.18003	0.18610	0.19873	0.73917	0.03625	0.03859	0.04186	0.01885
auto	l1	GradientBoosting	0.00374	0.05333	0.00194	0.84421	0.00788	0.11675	0.00409	0.00293
auto	l1	NeuralNetwork	0.00000	0.00000	0.00000	0.84687	0.00000	0.00000	0.00000	0.00143
auto	l1	randomForest	0.00758	0.15000	0.00388	0.84761	0.01599	0.33747	0.00819	0.00231
auto	l2	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	sgd	0.14926	0.11737	0.24078	0.72747	0.07741	0.06969	0.19346	0.12643
auto	l2	nearestCentroid	0.24628	0.16206	0.51349	0.52064	0.03362	0.02185	0.07593	0.02387
auto	l2	adaboost	0.00000	0.00000	0.00000	0.84554	0.00000	0.00000	0.00000	0.00171
auto	l2	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	DecisionTree	0.17093	0.17118	0.18415	0.73813	0.04303	0.03203	0.04638	0.01282
auto	l2	GradientBoosting	0.00566	0.12000	0.00291	0.84584	0.00912	0.20976	0.00469	0.00238
auto	l2	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	randomForest	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	sgd	0.11571	0.10455	0.35271	0.70971	0.10834	0.05876	0.21799	0.11102
auto	l3	nearestCentroid	0.20430	0.13406	0.43027	0.48809	0.03042	0.02002	0.06702	0.03238
auto	l3	adaboost	0.00000	0.00000	0.00000	0.84569	0.00000	0.00000	0.00000	0.00196
auto	l3	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	DecisionTree	0.17905	0.16059	0.18026	0.73029	0.04096	0.02845	0.04963	0.01611
