protein	class	lag	features
VO:_VO_0010865	1	l1	0.00597,0.00016,0.00347,-0.00119,0.00219,0.00016,0.00347,-0.00119,0.00219,0.00597,0.00347,-0.00119,0.00219,0.00597,0.00016,-0.00119,0.00219,0.00597,0.00016,0.00347
VO:_VO_0010865	1	l2	0.00136,0.00113,0.00511,0.00036,0.00326,0.00113,0.00511,0.00036,0.00326,0.00136,0.00511,0.00036,0.00326,0.00136,0.00113,0.00036,0.00326,0.00136,0.00113,0.00511
VO:_VO_0010865	1	l3	0.00401,0.00185,0.00266,0.00228,0.00294,0.00185,0.00266,0.00228,0.00294,0.00401,0.00266,0.00228,0.00294,0.00401,0.00185,0.00228,0.00294,0.00401,0.00185,0.00266
VO:_VO_0010865	1	l4	0.00612,0.00042,0.00227,0.00286,0.00242,0.00042,0.00227,0.00286,0.00242,0.00612,0.00227,0.00286,0.00242,0.00612,0.00042,0.00286,0.00242,0.00612,0.00042,0.00227
VO:_VO_0010865	1	l5	0.00285,0.00057,0.00459,0.00080,0.00246,0.00057,0.00459,0.00080,0.00246,0.00285,0.00459,0.00080,0.00246,0.00285,0.00057,0.00080,0.00246,0.00285,0.00057,0.00459
VO:_VO_0010865	1	l6	0.00292,0.00061,0.00234,0.00117,0.00444,0.00061,0.00234,0.00117,0.00444,0.00292,0.00234,0.00117,0.00444,0.00292,0.00061,0.00117,0.00444,0.00292,0.00061,0.00234
VO:_VO_0010865	1	l7	0.00634,0.00109,0.00420,-0.00126,0.00472,0.00109,0.00420,-0.00126,0.00472,0.00634,0.00420,-0.00126,0.00472,0.00634,0.00109,-0.00126,0.00472,0.00634,0.00109,0.00420
VO:_VO_0010865	1	l8	-0.00135,0.00039,0.00297,-0.00007,0.00163,0.00039,0.00297,-0.00007,0.00163,-0.00135,0.00297,-0.00007,0.00163,-0.00135,0.00039,-0.00007,0.00163,-0.00135,0.00039,0.00297
VO:_VO_0010870	1	l1	0.00635,0.00505,0.00749,0.00228,0.00136,0.00505,0.00749,0.00228,0.00136,0.00635,0.00749,0.00228,0.00136,0.00635,0.00505,0.00228,0.00136,0.00635,0.00505,0.00749
VO:_VO_0010870	1	l2	-0.00066,0.01375,0.00657,0.00458,0.00217,0.01375,0.00657,0.00458,0.00217,-0.00066,0.00657,0.00458,0.00217,-0.00066,0.01375,0.00458,0.00217,-0.00066,0.01375,0.00657
VO:_VO_0010870	1	l3	0.00474,0.00204,0.00390,-0.00369,-0.00463,0.00204,0.00390,-0.00369,-0.00463,0.00474,0.00390,-0.00369,-0.00463,0.00474,0.00204,-0.00369,-0.00463,0.00474,0.00204,0.00390
VO:_VO_0010870	1	l4	0.00801,0.00524,0.00447,0.00417,-0.00232,0.00524,0.00447,0.00417,-0.00232,0.00801,0.00447,0.00417,-0.00232,0.00801,0.00524,0.00417,-0.00232,0.00801,0.00524,0.00447
VO:_VO_0010870	1	l5	0.01336,0.00631,0.00443,-0.00094,0.00054,0.00631,0.00443,-0.00094,0.00054,0.01336,0.00443,-0.00094,0.00054,0.01336,0.00631,-0.00094,0.00054,0.01336,0.00631,0.00443
VO:_VO_0010870	1	l6	0.00717,0.00978,0.00567,-0.00182,-0.00266,0.00978,0.00567,-0.00182,-0.00266,0.00717,0.00567,-0.00182,-0.00266,0.00717,0.00978,-0.00182,-0.00266,0.00717,0.00978,0.00567
VO:_VO_0010870	1	l7	0.00244,0.00719,0.00416,-0.00700,-0.00692,0.00719,0.00416,-0.00700,-0.00692,0.00244,0.00416,-0.00700,-0.00692,0.00244,0.00719,-0.00700,-0.00692,0.00244,0.00719,0.00416
VO:_VO_0010870	1	l8	0.00673,0.01114,0.00341,0.00176,0.00014,0.01114,0.00341,0.00176,0.00014,0.00673,0.00341,0.00176,0.00014,0.00673,0.01114,0.00176,0.00014,0.00673,0.01114,0.00341
VO:_VO_0010874	1	l1	0.00165,0.00584,0.00289,0.00356,-0.00050,0.00584,0.00289,0.00356,-0.00050,0.00165,0.00289,0.00356,-0.00050,0.00165,0.00584,0.00356,-0.00050,0.00165,0.00584,0.00289
VO:_VO_0010874	1	l2	-0.00139,0.00932,0.00306,-0.00105,-0.00843,0.00932,0.00306,-0.00105,-0.00843,-0.00139,0.00306,-0.00105,-0.00843,-0.00139,0.00932,-0.00105,-0.00843,-0.00139,0.00932,0.00306
VO:_VO_0010874	1	l3	-0.00402,0.00597,0.00012,-0.00070,0.00241,0.00597,0.00012,-0.00070,0.00241,-0.00402,0.00012,-0.00070,0.00241,-0.00402,0.00597,-0.00070,0.00241,-0.00402,0.00597,0.00012
VO:_VO_0010874	1	l4	0.00181,0.00320,0.00336,-0.00182,0.00746,0.00320,0.00336,-0.00182,0.00746,0.00181,0.00336,-0.00182,0.00746,0.00181,0.00320,-0.00182,0.00746,0.00181,0.00320,0.00336
VO:_VO_0010874	1	l5	-0.00538,0.00267,0.00246,0.00069,-0.00490,0.00267,0.00246,0.00069,-0.00490,-0.00538,0.00246,0.00069,-0.00490,-0.00538,0.00267,0.00069,-0.00490,-0.00538,0.00267,0.00246
VO:_VO_0010874	1	l6	-0.00474,0.00390,0.00127,-0.00485,-0.00444,0.00390,0.00127,-0.00485,-0.00444,-0.00474,0.00127,-0.00485,-0.00444,-0.00474,0.00390,-0.00485,-0.00444,-0.00474,0.00390,0.00127
VO:_VO_0010874	1	l7	0.00160,0.00374,0.00143,-0.00265,0.00652,0.00374,0.00143,-0.00265,0.00652,0.00160,0.00143,-0.00265,0.00652,0.00160,0.00374,-0.00265,0.00652,0.00160,0.00374,0.00143
VO:_VO_0010874	1	l8	-0.00124,-0.00086,0.00435,0.00026,0.00226,-0.00086,0.00435,0.00026,0.00226,-0.00124,0.00435,0.00026,0.00226,-0.00124,-0.00086,0.00026,0.00226,-0.00124,-0.00086,0.00435
VO:_VO_0010875	1	l1	0.00165,0.00584,0.00289,0.00356,-0.00050,0.00584,0.00289,0.00356,-0.00050,0.00165,0.00289,0.00356,-0.00050,0.00165,0.00584,0.00356,-0.00050,0.00165,0.00584,0.00289
VO:_VO_0010875	1	l2	-0.00139,0.00932,0.00306,-0.00105,-0.00843,0.00932,0.00306,-0.00105,-0.00843,-0.00139,0.00306,-0.00105,-0.00843,-0.00139,0.00932,-0.00105,-0.00843,-0.00139,0.00932,0.00306
VO:_VO_0010875	1	l3	-0.00402,0.00597,0.00012,-0.00070,0.00241,0.00597,0.00012,-0.00070,0.00241,-0.00402,0.00012,-0.00070,0.00241,-0.00402,0.00597,-0.00070,0.00241,-0.00402,0.00597,0.00012
VO:_VO_0010875	1	l4	0.00181,0.00320,0.00336,-0.00182,0.00746,0.00320,0.00336,-0.00182,0.00746,0.00181,0.00336,-0.00182,0.00746,0.00181,0.00320,-0.00182,0.00746,0.00181,0.00320,0.00336
VO:_VO_0010875	1	l5	-0.00538,0.00267,0.00246,0.00069,-0.00490,0.00267,0.00246,0.00069,-0.00490,-0.00538,0.00246,0.00069,-0.00490,-0.00538,0.00267,0.00069,-0.00490,-0.00538,0.00267,0.00246
VO:_VO_0010875	1	l6	-0.00474,0.00390,0.00127,-0.00485,-0.00444,0.00390,0.00127,-0.00485,-0.00444,-0.00474,0.00127,-0.00485,-0.00444,-0.00474,0.00390,-0.00485,-0.00444,-0.00474,0.00390,0.00127
VO:_VO_0010875	1	l7	0.00160,0.00374,0.00143,-0.00265,0.00652,0.00374,0.00143,-0.00265,0.00652,0.00160,0.00143,-0.00265,0.00652,0.00160,0.00374,-0.00265,0.00652,0.00160,0.00374,0.00143
VO:_VO_0010875	1	l8	-0.00124,-0.00086,0.00435,0.00026,0.00226,-0.00086,0.00435,0.00026,0.00226,-0.00124,0.00435,0.00026,0.00226,-0.00124,-0.00086,0.00026,0.00226,-0.00124,-0.00086,0.00435
VO:_VO_0010876	1	l1	0.00165,0.00584,0.00289,0.00356,-0.00050,0.00584,0.00289,0.00356,-0.00050,0.00165,0.00289,0.00356,-0.00050,0.00165,0.00584,0.00356,-0.00050,0.00165,0.00584,0.00289
VO:_VO_0010876	1	l2	-0.00139,0.00932,0.00306,-0.00105,-0.00843,0.00932,0.00306,-0.00105,-0.00843,-0.00139,0.00306,-0.00105,-0.00843,-0.00139,0.00932,-0.00105,-0.00843,-0.00139,0.00932,0.00306
VO:_VO_0010876	1	l3	-0.00402,0.00597,0.00012,-0.00070,0.00241,0.00597,0.00012,-0.00070,0.00241,-0.00402,0.00012,-0.00070,0.00241,-0.00402,0.00597,-0.00070,0.00241,-0.00402,0.00597,0.00012
VO:_VO_0010876	1	l4	0.00181,0.00320,0.00336,-0.00182,0.00746,0.00320,0.00336,-0.00182,0.00746,0.00181,0.00336,-0.00182,0.00746,0.00181,0.00320,-0.00182,0.00746,0.00181,0.00320,0.00336
VO:_VO_0010876	1	l5	-0.00538,0.00267,0.00246,0.00069,-0.00490,0.00267,0.00246,0.00069,-0.00490,-0.00538,0.00246,0.00069,-0.00490,-0.00538,0.00267,0.00069,-0.00490,-0.00538,0.00267,0.00246
VO:_VO_0010876	1	l6	-0.00474,0.00390,0.00127,-0.00485,-0.00444,0.00390,0.00127,-0.00485,-0.00444,-0.00474,0.00127,-0.00485,-0.00444,-0.00474,0.00390,-0.00485,-0.00444,-0.00474,0.00390,0.00127
VO:_VO_0010876	1	l7	0.00160,0.00374,0.00143,-0.00265,0.00652,0.00374,0.00143,-0.00265,0.00652,0.00160,0.00143,-0.00265,0.00652,0.00160,0.00374,-0.00265,0.00652,0.00160,0.00374,0.00143
VO:_VO_0010876	1	l8	-0.00124,-0.00086,0.00435,0.00026,0.00226,-0.00086,0.00435,0.00026,0.00226,-0.00124,0.00435,0.00026,0.00226,-0.00124,-0.00086,0.00026,0.00226,-0.00124,-0.00086,0.00435
VO:_VO_0010877	1	l1	0.00504,0.00295,0.00346,0.00041,-0.00376,0.00295,0.00346,0.00041,-0.00376,0.00504,0.00346,0.00041,-0.00376,0.00504,0.00295,0.00041,-0.00376,0.00504,0.00295,0.00346
VO:_VO_0010877	1	l2	0.00712,-0.00150,0.00392,-0.00094,0.00431,-0.00150,0.00392,-0.00094,0.00431,0.00712,0.00392,-0.00094,0.00431,0.00712,-0.00150,-0.00094,0.00431,0.00712,-0.00150,0.00392
VO:_VO_0010877	1	l3	0.00704,-0.00013,0.00232,-0.00266,-0.00116,-0.00013,0.00232,-0.00266,-0.00116,0.00704,0.00232,-0.00266,-0.00116,0.00704,-0.00013,-0.00266,-0.00116,0.00704,-0.00013,0.00232
VO:_VO_0010877	1	l4	0.00464,0.00237,0.00428,-0.00132,-0.00314,0.00237,0.00428,-0.00132,-0.00314,0.00464,0.00428,-0.00132,-0.00314,0.00464,0.00237,-0.00132,-0.00314,0.00464,0.00237,0.00428
