	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	preds_binary
0	-0.00803	-0.01418	-0.01013	0.02373	0.00613	-0.01418	-0.01013	0.02373	0.00613	-0.00803	-0.01013	0.02373	0.00613	-0.00803	-0.01418	0.02373	0.00613	-0.00803	-0.01418	-0.01013	1
1	-0.0187	0.00214	-0.00497	0.00036	0.00098	0.00214	-0.00497	0.00036	0.00098	-0.0187	-0.00497	0.00036	0.00098	-0.0187	0.00214	0.00036	0.00098	-0.0187	0.00214	-0.00497	1
2	-0.03038	-0.02943	0.00014	-0.01073	-0.00296	-0.02943	0.00014	-0.01073	-0.00296	-0.03038	0.00014	-0.01073	-0.00296	-0.03038	-0.02943	-0.01073	-0.00296	-0.03038	-0.02943	0.00014	1
3	-0.00054	-0.0042	0.02551	-0.02931	0.01354	-0.0042	0.02551	-0.02931	0.01354	-0.00054	0.02551	-0.02931	0.01354	-0.00054	-0.0042	-0.02931	0.01354	-0.00054	-0.0042	0.02551	1
4	-0.00198	0.00216	-0.00304	0.0082	0.03311	0.00216	-0.00304	0.0082	0.03311	-0.00198	-0.00304	0.0082	0.03311	-0.00198	0.00216	0.0082	0.03311	-0.00198	0.00216	-0.00304	1
5	0.00084	0.00789	-0.00153	-0.00163	-0.00428	0.00789	-0.00153	-0.00163	-0.00428	0.00084	-0.00153	-0.00163	-0.00428	0.00084	0.00789	-0.00163	-0.00428	0.00084	0.00789	-0.00153	1
6	0.0125	0.00658	0.01368	0.01682	0.0133	0.00658	0.01368	0.01682	0.0133	0.0125	0.01368	0.01682	0.0133	0.0125	0.00658	0.01682	0.0133	0.0125	0.00658	0.01368	1
7	-9e-05	-0.00561	0.01474	0.00124	0.03117	-0.00561	0.01474	0.00124	0.03117	-9e-05	0.01474	0.00124	0.03117	-9e-05	-0.00561	0.00124	0.03117	-9e-05	-0.00561	0.01474	1
8	0.01913	-0.00343	0.00337	0.0176	-0.00127	-0.00343	0.00337	0.0176	-0.00127	0.01913	0.00337	0.0176	-0.00127	0.01913	-0.00343	0.0176	-0.00127	0.01913	-0.00343	0.00337	1
9	0.00999	0.06298	-0.00152	-0.02027	0.01639	0.06298	-0.00152	-0.02027	0.01639	0.00999	-0.00152	-0.02027	0.01639	0.00999	0.06298	-0.02027	0.01639	0.00999	0.06298	-0.00152	1
10	0.01292	-0.00868	-0.00234	-0.00791	-0.00284	-0.00868	-0.00234	-0.00791	-0.00284	0.01292	-0.00234	-0.00791	-0.00284	0.01292	-0.00868	-0.00791	-0.00284	0.01292	-0.00868	-0.00234	1
