	f1	f2	f3	f4	f5	preds_binary
0	-0.00723	-0.01049	0.02217	-0.01328	0.02579	1
1	-0.01645	-0.00348	0.00084	-0.00074	-0.03522	1
2	0.00877	-0.03935	-0.03764	-0.00529	0.00569	1
3	0.00901	-0.00192	0.01441	0.02137	0.01384	1
4	0.02404	-0.00032	-0.00391	-0.00207	0.02369	1
5	-0.0111	-0.00218	0.00198	0.00873	-0.02331	1
6	0.01917	0.00553	0.01529	0.00799	0.03957	1
7	-0.03505	0.01342	-0.00979	0.00272	0.01479	1
8	-0.01566	0.01583	-0.01934	0.0127	-0.00326	1
9	0.0043	-0.00386	0.01706	0.0075	-0.03064	1
10	0.00233	0.01473	-0.00242	-0.00285	0.01343	1
11	0.02504	0.01589	-0.01228	0.00132	-0.02021	1
12	0.00245	-0.00228	0.01762	0.01602	-0.03436	1
13	0.00585	-0.03719	-0.03101	-0.00225	0.0031	1
14	-0.00521	-0.01178	-0.00667	-0.01074	-0.01178	1
15	0.00637	-0.00243	-0.00193	0.0046	0.02377	1
16	0.02736	-0.01489	-0.02141	0.00618	0.02461	1
17	0.01586	0.00132	-0.00285	0.00303	0.03384	1
18	-0.01172	0.00614	0.02287	0.00809	-0.03165	1
19	-0.02809	-0.00697	0.00433	0.00287	-0.02766	1
20	-0.01296	0.00901	0.02631	0.0126	-0.01613	1
21	0.04138	0.00055	0.01763	0.01112	0.01115	1
22	0.00056	0.00214	0.02258	0.00906	0.01871	1
23	-0.01508	0.00873	0.02383	0.019	-0.01777	1
24	0.01586	0.00132	-0.00285	0.00303	0.03384	1
25	-0.00222	-0.00534	0.02148	0.00113	-0.0371	1
26	-0.02391	-0.00287	0.00914	-0.00366	0.01687	1
27	0.04138	0.00055	0.01763	0.01112	0.01115	1
28	0.01476	-9e-05	0.00049	0.00614	0.03361	1
29	-0.01878	-0.00514	0.02198	-0.01632	0.02695	1
30	0.00712	0.00761	0.02047	0.00324	0.01041	1
31	0.00146	0.01128	0.00535	0.01721	-0.01546	1
32	0.01998	0.00533	0.00996	0.0059	-0.01678	1
33	0.01829	-0.00075	0.01577	0.00382	0.00092	1
34	0.02081	-0.00346	-0.02507	0.01027	0.0243	1
35	0.02664	0.00621	-0.01293	-0.00284	0.02677	1
36	0.0253	0.00647	-0.00669	0.002	0.01727	1
37	0.00983	0.00248	-0.03376	0.00959	0.00436	1
38	0.02874	0.00523	0.00063	0.00979	-0.02218	1
39	-0.00557	0.00274	0.01743	0.00167	-0.02882	1
40	0.00925	-0.00738	0.01387	-0.01185	-0.01049	1
41	-0.01598	-0.01805	-0.01602	0.01166	0.01335	1
42	0.01917	0.00553	0.01529	0.00799	0.03957	1
43	0.02127	-0.00551	0.00953	0.00123	0.00576	1
44	0.00831	-0.00071	0.00142	0.01291	-0.01171	1
45	-0.03247	0.00917	-0.03878	0.01354	0.01131	1
46	0.00798	0.00502	0.02664	0.00067	-0.01117	1
47	0.05007	-0.00373	0.01555	0.01808	-0.01418	1
48	0.02009	-0.0059	0.02278	0.00457	-0.00546	1
49	0.02181	-0.00458	0.0137	0.01418	0.0176	1
50	0.00622	0.00301	0.00355	0.00909	7e-05	1
51	0.01933	-0.00613	0.01337	0.00886	0.00883	1
52	-0.00253	-0.00349	0.00664	0.01404	-0.00505	1
53	0.00737	0.01583	0.00042	0.0005	0.0049	1
54	-0.03041	-0.00507	0.00228	0.01029	-0.02708	1
55	-0.0275	-0.00778	0.00605	0.00411	-0.02488	1
56	-0.00953	-0.00321	0.01073	-0.00068	0.01225	1
57	0.00621	0.00445	0.00018	0.00882	-0.00824	1
58	0.00395	-0.00377	0.02892	-0.00454	0.02653	1
59	-0.00694	0.01036	0.03602	0.00139	0.01379	1
60	-0.00891	0.00349	0.02292	0.00143	0.01228	1
61	-0.02652	0.003	0.01478	0.00021	-0.01131	1
62	0.03587	-0.00855	0.02281	0.01613	0.00409	1
63	0.01222	0.00524	-0.0058	0.01468	0.00856	1
64	0.02898	0.00771	-0.00311	-0.00151	0.02435	1
65	-0.02745	0.00434	0.03285	-0.00199	0.01027	1
66	-0.00093	-0.00676	0.01885	0.01888	-0.02816	1
67	-0.00242	0.01195	0.04393	0.00597	0.03014	1
68	-0.02002	0.01758	-0.02691	0.01607	-0.00919	1
69	0.02034	-0.00922	0.02478	0.01207	-0.00404	1
70	-0.00864	0.00697	0.02957	0.02536	-0.0094	1
71	0.03587	-0.00855	0.02281	0.01613	0.00409	1
72	0.02186	-0.0064	-0.04348	0.00442	0.04063	1
73	0.03174	0.00782	0.00972	0.00112	0.00187	1
74	0.00865	-0.00243	0.00198	0.01343	0.01005	1
75	0.02254	-0.00025	0.00421	0.0047	0.02365	1
76	0.04138	0.00055	0.01763	0.01112	0.01115	1
77	-0.00044	0.01419	-0.0036	-0.00146	0.01248	1
78	-0.00203	-0.01023	-0.00883	-0.00803	-0.01215	1
