	f1	f2	f3	f4	f5	f6	preds_binary
0	-0.35863	194.17461	-3.7318	0.00191	0.06789	-0.00044	0
1	-0.37983	534.21097	-3.04083	0.00311	0.09724	0.00219	0
2	-0.00881	269.00609	1.8224	0.00127	0.03191	-0.00055	0
3	0.17681	-141.32657	0.98692	-0.00173	-0.03524	-0.00055	1
4	0.12247	-531.65796	0.70468	-0.00404	-0.08171	2e-05	1
5	-0.19804	-190.31298	-1.77257	-0.00092	-0.02989	-0.00038	1
6	-0.21675	-439.63455	-2.30268	-0.00234	-0.03768	-0.00068	1
7	-0.0361	-224.02785	1.19471	-0.00279	-0.07112	-0.00192	1
8	-0.00445	-99.40578	-0.0531	-0.00024	-0.00907	-0.00278	1
9	-0.19055	167.42851	-0.43532	0.00177	0.03625	0.00033	0
10	0.06749	-633.83286	-0.24532	-0.00441	-0.09311	-0.00038	1
11	0.05081	11.60622	0.16584	0.00045	-0.0085	5e-05	1
12	-0.30124	-199.43724	-0.57486	-0.00209	-0.06896	-0.00072	1
13	-0.03857	419.47517	1.20886	0.00266	0.06743	-0.00088	0
14	0.15703	26.98061	2.81423	-0.002	-0.04299	-0.00041	0
15	0.09968	-259.29857	0.51623	-0.00079	-0.02684	1e-05	1
16	-0.14626	-418.58846	-2.16565	-0.00103	-0.03471	-0.00021	1
17	-0.16654	-805.70957	-2.40192	-0.00501	-0.09591	-0.00012	1
18	-0.33468	82.00178	-1.08037	0.00143	0.03019	0.00021	0
19	-0.15438	-228.45683	-2.12479	-0.00099	-0.0058	-0.00016	1
20	-0.01307	177.02129	-0.36057	0.00132	0.02888	-0.00011	0
21	-0.23494	-672.69831	-1.74345	-0.00468	-0.09709	-0.00021	1
22	-0.01878	225.61957	-0.58825	0.00304	0.05253	0.0	0
23	0.14672	157.95268	0.26182	0.00103	0.02138	-9e-05	0
24	-0.16654	-805.70957	-2.40192	-0.00501	-0.09591	-0.00012	1
25	-0.19474	-252.89582	1.45898	-0.00254	-0.07465	-0.00106	1
26	-0.04746	-229.53642	-1.54963	-0.00176	-0.03064	-0.00049	1
27	-0.23494	-672.69831	-1.74345	-0.00468	-0.09709	-0.00021	1
28	-0.22148	-424.94709	-2.38975	-0.00238	-0.03684	-0.0006	1
29	-0.24456	298.15314	-2.71601	0.00197	0.07142	-0.00039	0
30	-0.05495	325.88425	0.77264	0.00111	0.02002	-3e-05	0
31	-0.02158	191.13941	1.41366	0.00034	0.00016	-0.00013	0
32	0.15771	-8.06016	2.38818	-0.00083	-0.00645	9e-05	1
33	-0.13307	-98.95939	-1.41376	-0.00036	-0.01051	6e-05	1
34	0.30853	366.55498	3.28892	0.00174	0.0525	-0.00093	0
35	0.02307	-620.95223	0.10697	-0.00599	-0.11812	-0.00075	1
36	-0.01471	-562.63314	0.01975	-0.00623	-0.11684	-0.00079	1
37	-0.01728	-436.93336	-0.54869	-0.0037	-0.07051	-0.00041	1
38	0.17128	203.17599	3.03987	-0.00057	0.01576	9e-05	0
39	-0.23997	79.18517	-0.55196	0.00145	0.03121	0.00022	0
40	-0.13687	-440.54991	1.93095	-0.00548	-0.13426	2e-05	1
41	-0.1255	-147.65178	-0.76191	-0.00163	-0.0225	-4e-05	1
42	-0.21675	-439.63455	-2.30268	-0.00234	-0.03768	-0.00068	1
43	0.22185	449.89602	4.5703	0.00098	0.00493	-0.00065	0
44	-0.13722	-112.88197	-1.3694	-0.00056	-0.0004	-0.00151	1
45	0.29008	89.52854	1.69541	0.00152	0.02613	-0.00223	0
46	0.00817	109.77077	1.95038	-0.00026	-0.02044	-0.00021	0
47	0.16259	-528.26639	0.81592	-0.005	-0.08664	0.00019	1
48	0.13391	-177.7198	0.77623	-0.00329	-0.04219	0.00082	1
49	0.28856	57.54018	1.51936	-0.00095	-0.03397	-8e-05	0
50	-0.11852	-476.63308	-0.81191	-0.00292	-0.061	-0.00127	1
51	-0.07199	-17.8839	-1.07915	0.00046	-0.00116	0.0004	1
52	-0.14207	65.36802	-0.0477	0.00068	0.00968	-0.00085	0
53	-0.0012	-718.52902	0.00517	-0.00625	-0.14168	-0.00099	1
54	-0.03262	-352.57514	-2.19555	-0.00144	-0.02049	-0.00023	1
55	0.07897	-156.57659	0.61444	-0.00078	-0.00443	-2e-05	1
56	-0.21857	-196.76498	-2.16163	-0.00142	-0.02146	-0.00051	1
57	-0.1504	-252.43615	-1.25197	-0.00129	-0.02258	-0.00179	1
58	-0.24488	-265.01751	-2.99403	-0.0029	-0.04692	-0.0006	1
59	-0.03679	-755.17545	-1.00914	-0.0042	-0.08903	-0.00128	1
60	-0.07501	-105.55514	-1.63013	-0.00027	-0.0083	-0.00102	1
61	-0.02415	-155.8794	-0.87068	-0.00081	-0.01996	-0.00066	1
62	-0.24911	-568.97283	-1.56575	-0.0046	-0.08911	-0.00059	1
63	-0.08852	-129.25083	-0.08275	-0.00235	-0.0317	-0.00081	1
64	0.19553	-900.07563	0.99002	-0.00728	-0.14195	-2e-05	1
65	-0.05356	-28.16154	-1.05787	-3e-05	0.01825	-0.00058	1
66	-0.13001	-291.72305	-0.88457	-0.00191	-0.04773	-0.00029	1
67	-0.17233	48.69345	-1.29067	-0.00013	-0.00185	-0.00036	0
68	0.04733	-58.33365	0.41855	-0.00019	-0.009	-0.00205	1
69	-0.2939	-581.27418	-1.95609	-0.00491	-0.08698	-0.00058	1
70	0.16654	175.97237	0.5816	0.001	0.01945	1e-05	0
71	-0.24911	-568.97283	-1.56575	-0.0046	-0.08911	-0.00059	1
72	0.31286	575.61056	3.41316	0.00368	0.08106	-0.00071	0
73	0.28558	662.53779	5.3284	0.00168	0.02196	-0.0007	0
74	0.12462	-19.22671	1.2692	-0.00121	-0.02738	-0.00039	1
75	0.12202	-528.09283	0.81698	-0.00412	-0.08196	1e-05	1
76	-0.23494	-672.69831	-1.74345	-0.00468	-0.09709	-0.00021	1
77	-0.00774	-577.42669	-0.62121	-0.00434	-0.08845	-0.00065	1
78	0.11187	-19.35237	1.62471	-0.00227	-0.04708	-0.00055	1
