	f51	f60	f17	f47	f89	f5	f97	f93	f13	f9	f125	f133	f129	f137	f43	f85	preds_binary
0	-0.00052	-0.00052	0.00779	-0.00052	0.00218	0.00779	0.00218	0.00218	0.00779	0.00779	0.00041	0.00041	0.00041	0.00041	-0.00052	0.00218	0
1	0.00749	0.00749	0.004	0.00749	0.00939	0.004	0.00939	0.00939	0.004	0.004	0.00809	0.00809	0.00809	0.00809	0.00749	0.00939	1
2	0.00669	0.00669	0.0076	0.00669	0.0066	0.0076	0.0066	0.0066	0.0076	0.0076	0.00129	0.00129	0.00129	0.00129	0.00669	0.0066	1
3	0.00852	0.00852	0.00087	0.00852	0.00021	0.00087	0.00021	0.00021	0.00087	0.00087	0.00497	0.00497	0.00497	0.00497	0.00852	0.00021	1
4	0.00595	0.00595	-0.00246	0.00595	0.00227	-0.00246	0.00227	0.00227	-0.00246	-0.00246	-0.00193	-0.00193	-0.00193	-0.00193	0.00595	0.00227	1
5	0.00846	0.00846	0.00082	0.00846	-0.00251	0.00082	-0.00251	-0.00251	0.00082	0.00082	0.00394	0.00394	0.00394	0.00394	0.00846	-0.00251	1
6	0.01014	0.01014	0.00372	0.01014	0.0007	0.00372	0.0007	0.0007	0.00372	0.00372	0.0022	0.0022	0.0022	0.0022	0.01014	0.0007	1
7	0.00626	0.00626	0.00159	0.00626	0.00239	0.00159	0.00239	0.00239	0.00159	0.00159	0.00305	0.00305	0.00305	0.00305	0.00626	0.00239	1
8	0.00523	0.00523	0.00257	0.00523	0.00245	0.00257	0.00245	0.00245	0.00257	0.00257	0.00089	0.00089	0.00089	0.00089	0.00523	0.00245	1
9	0.0068	0.0068	0.00826	0.0068	0.00485	0.00826	0.00485	0.00485	0.00826	0.00826	0.00411	0.00411	0.00411	0.00411	0.0068	0.00485	0
10	0.00907	0.00907	0.00635	0.00907	0.0005	0.00635	0.0005	0.0005	0.00635	0.00635	0.0085	0.0085	0.0085	0.0085	0.00907	0.0005	1
11	0.01131	0.01131	0.00242	0.01131	0.0091	0.00242	0.0091	0.0091	0.00242	0.00242	0.00417	0.00417	0.00417	0.00417	0.01131	0.0091	1
