Feature: f1                        Rank: 7,  Keep: False 
Feature: f2                        Rank: 22,  Keep: False 
Feature: f3                        Rank: 37,  Keep: False 
Feature: f4                        Rank: 19,  Keep: False 
Feature: f5                        Rank: 33,  Keep: False 
Feature: f6                        Rank: 28,  Keep: False 
Feature: f7                        Rank: 13,  Keep: False 
Feature: f8                        Rank: 22,  Keep: False 
Feature: f9                        Rank: 25,  Keep: False 
Feature: f10                       Rank: 29,  Keep: False 
Feature: f11                       Rank: 12,  Keep: False 
Feature: f12                       Rank: 1,  Keep: True 
Feature: f13                       Rank: 27,  Keep: False 
Feature: f14                       Rank: 1,  Keep: True 
Feature: f15                       Rank: 34,  Keep: False 
Feature: f16                       Rank: 8,  Keep: False 
Feature: f17                       Rank: 35,  Keep: False 
Feature: f18                       Rank: 10,  Keep: False 
Feature: f19                       Rank: 15,  Keep: False 
Feature: f20                       Rank: 36,  Keep: False 
Feature: f21                       Rank: 1,  Keep: True 
Feature: f22                       Rank: 19,  Keep: False 
Feature: f23                       Rank: 11,  Keep: False 
Feature: f24                       Rank: 38,  Keep: False 
Feature: f25                       Rank: 6,  Keep: False 
Feature: f26                       Rank: 13,  Keep: False 
Feature: f27                       Rank: 9,  Keep: False 
Feature: f28                       Rank: 5,  Keep: False 
Feature: f29                       Rank: 17,  Keep: False 
Feature: f30                       Rank: 19,  Keep: False 
Feature: f31                       Rank: 3,  Keep: False 
Feature: f32                       Rank: 2,  Keep: False 
Feature: f33                       Rank: 24,  Keep: False 
Feature: f34                       Rank: 29,  Keep: False 
Feature: f35                       Rank: 31,  Keep: False 
Feature: f36                       Rank: 4,  Keep: False 
Feature: f37                       Rank: 31,  Keep: False 
Feature: f38                       Rank: 26,  Keep: False 
Feature: f39                       Rank: 22,  Keep: False 
Feature: f40                       Rank: 16,  Keep: False 
