	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	preds_binary
0	0.02034	0.02775	0.00082	-0.00545	0.00779	0.02775	0.00082	-0.00545	0.00779	0.02034	0.00082	-0.00545	0.00779	0.02034	0.02775	-0.00545	0.00779	0.02034	0.02775	0.00082	0
1	0.00627	0.00663	0.00318	0.00328	0.004	0.00663	0.00318	0.00328	0.004	0.00627	0.00318	0.00328	0.004	0.00627	0.00663	0.00328	0.004	0.00627	0.00663	0.00318	0
2	0.0127	0.00875	0.00513	0.00488	0.0076	0.00875	0.00513	0.00488	0.0076	0.0127	0.00513	0.00488	0.0076	0.0127	0.00875	0.00488	0.0076	0.0127	0.00875	0.00513	0
3	0.01681	0.01144	0.00739	-0.00638	0.00087	0.01144	0.00739	-0.00638	0.00087	0.01681	0.00739	-0.00638	0.00087	0.01681	0.01144	-0.00638	0.00087	0.01681	0.01144	0.00739	0
4	0.00557	0.01233	0.00362	0.00159	-0.00246	0.01233	0.00362	0.00159	-0.00246	0.00557	0.00362	0.00159	-0.00246	0.00557	0.01233	0.00159	-0.00246	0.00557	0.01233	0.00362	0
5	0.02201	0.01948	0.00838	0.0062	0.00082	0.01948	0.00838	0.0062	0.00082	0.02201	0.00838	0.0062	0.00082	0.02201	0.01948	0.0062	0.00082	0.02201	0.01948	0.00838	0
6	0.00504	0.00977	0.00919	-0.00284	0.00372	0.00977	0.00919	-0.00284	0.00372	0.00504	0.00919	-0.00284	0.00372	0.00504	0.00977	-0.00284	0.00372	0.00504	0.00977	0.00919	0
7	0.00362	0.008	0.00509	0.00101	0.00159	0.008	0.00509	0.00101	0.00159	0.00362	0.00509	0.00101	0.00159	0.00362	0.008	0.00101	0.00159	0.00362	0.008	0.00509	0
8	5e-05	0.00671	0.00643	0.00079	0.00257	0.00671	0.00643	0.00079	0.00257	5e-05	0.00643	0.00079	0.00257	5e-05	0.00671	0.00079	0.00257	5e-05	0.00671	0.00643	0
9	-0.00412	0.01559	0.00642	0.00363	0.00826	0.01559	0.00642	0.00363	0.00826	-0.00412	0.00642	0.00363	0.00826	-0.00412	0.01559	0.00363	0.00826	-0.00412	0.01559	0.00642	0
10	0.00034	0.00748	0.0062	0.00419	0.00635	0.00748	0.0062	0.00419	0.00635	0.00034	0.0062	0.00419	0.00635	0.00034	0.00748	0.00419	0.00635	0.00034	0.00748	0.0062	0
11	0.00955	0.01085	0.01336	0.00019	0.00242	0.01085	0.01336	0.00019	0.00242	0.00955	0.01336	0.00019	0.00242	0.00955	0.01085	0.00019	0.00242	0.00955	0.01085	0.01336	0
12	0.01115	0.00293	0.00487	0.00145	0.00294	0.00293	0.00487	0.00145	0.00294	0.01115	0.00487	0.00145	0.00294	0.01115	0.00293	0.00145	0.00294	0.01115	0.00293	0.00487	0
13	0.00824	0.01179	0.00543	-0.00427	0.00291	0.01179	0.00543	-0.00427	0.00291	0.00824	0.00543	-0.00427	0.00291	0.00824	0.01179	-0.00427	0.00291	0.00824	0.01179	0.00543	0
14	0.0112	0.01552	0.00432	-0.00122	0.00289	0.01552	0.00432	-0.00122	0.00289	0.0112	0.00432	-0.00122	0.00289	0.0112	0.01552	-0.00122	0.00289	0.0112	0.01552	0.00432	0
