	f1	f2	f3	f4	f5	f6	preds_binary
0	-0.02412	45.04126	0.13115	0.00016	0.00266	0.00017	0
1	-0.08348	89.45546	-0.09621	0.00041	0.00647	-0.00016	0
2	-0.06229	-21.60222	-0.41198	-0.00015	-0.00176	8e-05	1
3	-0.0676	109.19778	-0.2011	0.00053	0.01588	0.00033	0
4	0.02988	36.80571	0.31683	0.00016	0.00381	-0.00023	0
5	-0.05706	-234.52044	-0.3452	-0.00149	-0.04103	-0.00029	1
6	0.01343	-81.67268	0.02793	-0.00058	-0.01876	0.00018	1
7	0.06792	-55.46602	0.37012	-0.00033	-0.00584	-0.00013	1
8	0.0382	0.67838	0.27584	0.0002	0.00171	-0.00013	1
9	-0.0317	-165.59672	-0.37678	-0.00181	-0.03757	-0.00036	1
10	-0.01062	61.39346	-0.74628	0.0006	0.01563	0.0001	0
11	-0.02692	-11.81664	-0.02173	-0.00045	-0.00794	0.00033	1
12	-0.00279	85.60416	0.28324	0.00014	0.00367	-8e-05	0
13	-0.02923	-39.94806	-0.26567	-0.0003	-0.00753	8e-05	1
14	-0.03976	-24.25457	-0.06247	-0.00039	-0.01126	-0.00024	1
15	0.01754	-12.27765	-0.21321	-0.0003	-0.00048	-0.00018	1
16	-0.08921	-60.43139	-0.62346	-0.00028	-0.00684	0.00031	1
17	-0.0045	122.63262	0.28599	0.00071	0.01287	-0.00053	0
18	-0.012	-54.75861	0.03773	-0.00029	-0.00517	0.00012	1
19	-0.06579	-2.70366	-0.56359	-5e-05	-0.00084	-2e-05	1
20	0.01596	-7.5987	-0.01515	0.0003	-0.00049	-0.00022	1
21	0.01785	86.06758	0.45166	5e-05	0.00607	0.00037	0
22	0.00193	-68.97248	-0.19562	-0.00025	-0.00564	-1e-05	1
23	-0.07551	51.97035	-0.40693	0.00035	0.00879	-0.00022	0
24	-0.05035	-46.88678	-0.06727	-0.00033	-0.01375	-0.00036	1
25	-0.0149	-126.31146	-0.59468	-0.00065	-0.0078	0.00015	1
26	0.07855	68.85109	-0.52098	0.0003	0.01867	0.00025	0
27	-0.04706	116.54366	-0.05038	0.00084	0.0172	1e-05	0
28	-0.02412	45.04126	0.13115	0.00016	0.00266	0.00017	0
29	-0.08348	89.45546	-0.09621	0.00041	0.00647	-0.00016	0
30	-0.06229	-21.60222	-0.41198	-0.00015	-0.00176	8e-05	1
31	-0.0676	109.19778	-0.2011	0.00053	0.01588	0.00033	0
32	0.02988	36.80571	0.31683	0.00016	0.00381	-0.00023	0
33	-0.05706	-234.52044	-0.3452	-0.00149	-0.04103	-0.00029	1
34	0.01343	-81.67268	0.02793	-0.00058	-0.01876	0.00018	1
35	0.06792	-55.46602	0.37012	-0.00033	-0.00584	-0.00013	1
36	0.0382	0.67838	0.27584	0.0002	0.00171	-0.00013	1
37	-0.0317	-165.59672	-0.37678	-0.00181	-0.03757	-0.00036	1
38	-0.01062	61.39346	-0.74628	0.0006	0.01563	0.0001	0
39	-0.02692	-11.81664	-0.02173	-0.00045	-0.00794	0.00033	1
40	-0.00279	85.60416	0.28324	0.00014	0.00367	-8e-05	0
41	-0.02923	-39.94806	-0.26567	-0.0003	-0.00753	8e-05	1
42	-0.03976	-24.25457	-0.06247	-0.00039	-0.01126	-0.00024	1
43	0.01754	-12.27765	-0.21321	-0.0003	-0.00048	-0.00018	1
44	-0.08921	-60.43139	-0.62346	-0.00028	-0.00684	0.00031	1
45	-0.0045	122.63262	0.28599	0.00071	0.01287	-0.00053	0
46	-0.012	-54.75861	0.03773	-0.00029	-0.00517	0.00012	1
47	-0.06579	-2.70366	-0.56359	-5e-05	-0.00084	-2e-05	1
48	0.01596	-7.5987	-0.01515	0.0003	-0.00049	-0.00022	1
49	0.01785	86.06758	0.45166	5e-05	0.00607	0.00037	0
50	0.00193	-68.97248	-0.19562	-0.00025	-0.00564	-1e-05	1
51	-0.07551	51.97035	-0.40693	0.00035	0.00879	-0.00022	0
52	-0.05035	-46.88678	-0.06727	-0.00033	-0.01375	-0.00036	1
53	-0.0149	-126.31146	-0.59468	-0.00065	-0.0078	0.00015	1
54	0.07855	68.85109	-0.52098	0.0003	0.01867	0.00025	0
55	-0.04706	116.54366	-0.05038	0.00084	0.0172	1e-05	0
56	-0.02412	45.04126	0.13115	0.00016	0.00266	0.00017	0
57	-0.08348	89.45546	-0.09621	0.00041	0.00647	-0.00016	0
58	-0.06229	-21.60222	-0.41198	-0.00015	-0.00176	8e-05	1
59	-0.0676	109.19778	-0.2011	0.00053	0.01588	0.00033	0
60	0.02988	36.80571	0.31683	0.00016	0.00381	-0.00023	0
61	-0.05706	-234.52044	-0.3452	-0.00149	-0.04103	-0.00029	1
62	0.01343	-81.67268	0.02793	-0.00058	-0.01876	0.00018	1
63	0.06792	-55.46602	0.37012	-0.00033	-0.00584	-0.00013	1
64	0.0382	0.67838	0.27584	0.0002	0.00171	-0.00013	1
65	-0.0317	-165.59672	-0.37678	-0.00181	-0.03757	-0.00036	1
66	-0.01062	61.39346	-0.74628	0.0006	0.01563	0.0001	0
67	-0.02692	-11.81664	-0.02173	-0.00045	-0.00794	0.00033	1
68	-0.00279	85.60416	0.28324	0.00014	0.00367	-8e-05	0
69	-0.02923	-39.94806	-0.26567	-0.0003	-0.00753	8e-05	1
70	-0.03976	-24.25457	-0.06247	-0.00039	-0.01126	-0.00024	1
71	0.01754	-12.27765	-0.21321	-0.0003	-0.00048	-0.00018	1
72	-0.08921	-60.43139	-0.62346	-0.00028	-0.00684	0.00031	1
73	-0.0045	122.63262	0.28599	0.00071	0.01287	-0.00053	0
74	-0.012	-54.75861	0.03773	-0.00029	-0.00517	0.00012	1
75	-0.06579	-2.70366	-0.56359	-5e-05	-0.00084	-2e-05	1
76	0.01596	-7.5987	-0.01515	0.0003	-0.00049	-0.00022	1
77	0.01785	86.06758	0.45166	5e-05	0.00607	0.00037	0
78	0.00193	-68.97248	-0.19562	-0.00025	-0.00564	-1e-05	1
79	-0.07551	51.97035	-0.40693	0.00035	0.00879	-0.00022	0
80	-0.05035	-46.88678	-0.06727	-0.00033	-0.01375	-0.00036	1
81	-0.0149	-126.31146	-0.59468	-0.00065	-0.0078	0.00015	1
82	0.07855	68.85109	-0.52098	0.0003	0.01867	0.00025	0
83	-0.04706	116.54366	-0.05038	0.00084	0.0172	1e-05	0
